"","NODES","EDGES","VARS","FUNCS","LOOPS","SMCC","CRT.S0","CPU.S0","TIM.S0","CRT.S10","CPU.S10","TIM.S10","CRT.S20","CPU.S20","TIM.S20","CRT.S30","CPU.S30","TIM.S30","CRT.S40","CPU.S40","TIM.S40","CRT.S50","CPU.S50","TIM.S50"
"1",2575,2967,461,148,3,288,0,8.148511913,2000,0,8.148511913,2000,0,7.877468857,2000,0,8.017046697,2000,0,7.877468857,2000,0,7.877468857,2000
"2",2557,2939,455,146,3,284,0,8.133088715,2000,0,8.133088715,2000,0,8.013101579,2000,0,8.017780874,2000,0,8.013101579,2000,0,8.013101579,2000
"3",4396,5407,1045,257,14,599,0,37.57860908,2000,0,36.16841456,2000,0,36.16841456,2000,0,36.16841456,2000,0,36.16841456,2000,0,36.16841456,2000
"4",4396,5407,1045,257,14,599,0,900.8951126,2000,0,36.48942924,2000,0,36.48942924,2000,0,36.48942924,2000,0,36.48942924,2000,0,36.48942924,2000
"5",4393,5402,1045,257,14,598,0,40.89936579,2000,0,35.67721592,2000,0,35.67721592,2000,0,35.67721592,2000,0,35.67721592,2000,0,35.67721592,2000
"6",4406,5424,1044,257,14,605,0,135.2039511,2000,0,900.194328,2000,0,900.194328,2000,0,900.194328,2000,0,900.194328,2000,0,900.194328,2000
"7",4406,5424,1044,257,14,605,0,77.31133812,2000,0,20.86509641,2000,0,20.86509641,2000,0,20.86509641,2000,0,20.86509641,2000,0,20.86509641,2000
"8",4400,5413,1043,257,14,601,0,901.2567283,2000,0,900.8095575,2000,0,900.8095575,2000,0,900.8095575,2000,0,900.8095575,2000,0,900.8095575,2000
"9",3365,4038,714,201,7,430,0,6.53927454,2000,0,6.763834748,2000,0,6.763834748,2000,0,6.763834748,2000,0,6.763834748,2000,0,6.763834748,2000
"10",3307,3947,697,198,6,415,0,6.65756129,2000,0,6.486279637,2000,0,6.486279637,2000,0,6.486279637,2000,0,6.486279637,2000,0,6.486279637,2000
"11",3101,3661,622,180,6,366,0,6.79334147,2000,0,6.765635809,2000,0,6.765635809,2000,0,6.765635809,2000,0,6.765635809,2000,0,6.765635809,2000
"12",3107,3672,623,180,6,366,0,6.596183941,2000,0,6.642604913,2000,0,6.642604913,2000,0,6.642604913,2000,0,6.642604913,2000,0,6.642604913,2000
"13",5237,6566,1286,296,16,791,0,901.3073066,2000,0,900.6657521,2000,0,900.6657521,2000,0,900.6657521,2000,0,900.6657521,2000,0,900.6657521,2000
"14",3356,4033,711,201,6,429,0,6.853370282,2000,0,6.449301243,2000,0,6.449301243,2000,0,6.449301243,2000,0,6.449301243,2000,0,6.449301243,2000
"15",3356,4027,711,201,6,429,0,6.795434258,2000,0,6.63852872,2000,0,6.63852872,2000,0,6.63852872,2000,0,6.63852872,2000,0,6.63852872,2000
"16",3421,4115,733,207,6,445,0,6.725125996,2000,0,6.574405849,2000,0,6.574405849,2000,0,6.574405849,2000,0,6.574405849,2000,0,6.574405849,2000
"17",3372,4047,719,201,7,430,0,6.671283035,2000,0,6.736582344,2000,0,6.736582344,2000,0,6.736582344,2000,0,6.736582344,2000,0,6.736582344,2000
"18",3366,4039,715,201,7,430,0,6.596189767,2000,0,6.540737752,2000,0,6.540737752,2000,0,6.540737752,2000,0,6.540737752,2000,0,6.540737752,2000
"19",3358,4027,713,201,7,427,0,6.746752194,2000,0,6.555369326,2000,0,6.555369326,2000,0,6.555369326,2000,0,6.555369326,2000,0,6.555369326,2000
"20",3116,3683,627,180,6,369,0,6.630629277,2000,0,6.504554557,2000,0,6.504554557,2000,0,6.504554557,2000,0,6.504554557,2000,0,6.504554557,2000
"21",3281,3928,694,196,6,416,0,6.264790629,2000,0,6.227442317,2000,0,6.227442317,2000,0,6.227442317,2000,0,6.227442317,2000,0,6.227442317,2000
"22",3305,3943,694,198,6,415,0,6.736800183,2000,0,6.599706164,2000,0,6.599706164,2000,0,6.599706164,2000,0,6.599706164,2000,0,6.599706164,2000
"23",3345,3998,705,201,7,423,0,6.743471303,2000,0,6.691708354,2000,0,6.691708354,2000,0,6.691708354,2000,0,6.691708354,2000,0,6.691708354,2000
"24",3336,3982,695,201,6,420,0,6.687608381,2000,0,6.690810423,2000,0,6.690810423,2000,0,6.690810423,2000,0,6.690810423,2000,0,6.690810423,2000
"25",3340,3987,693,201,6,421,0,6.714284619,2000,0,6.817484694,2000,0,6.817484694,2000,0,6.817484694,2000,0,6.817484694,2000,0,6.817484694,2000
"26",3362,4036,713,201,6,431,0,6.748681191,2000,0,6.424985485,2000,0,6.424985485,2000,0,6.424985485,2000,0,6.424985485,2000,0,6.424985485,2000
"27",3365,4040,712,201,6,432,0,7.75119125,2000,0,7.890933036,2000,0,7.890933036,2000,0,7.890933036,2000,0,7.890933036,2000,0,7.890933036,2000
"28",3408,4090,719,207,6,442,0,7.822505005,2000,0,7.6035936,2000,0,7.6035936,2000,0,7.6035936,2000,0,7.6035936,2000,0,7.6035936,2000
"29",3345,3999,705,200,6,425,0,7.787761571,2000,0,7.690797369,2000,0,7.690797369,2000,0,7.690797369,2000,0,7.690797369,2000,0,7.690797369,2000
"30",3318,3970,697,198,6,415,0,7.803520927,2000,0,7.546813683,2000,0,7.546813683,2000,0,7.546813683,2000,0,7.546813683,2000,0,7.546813683,2000
"31",3358,4030,712,201,6,428,0,7.701052504,2000,0,7.706834784,2000,0,7.706834784,2000,0,7.706834784,2000,0,7.706834784,2000,0,7.706834784,2000
"32",4428,5459,1054,259,15,596,0,15.89163638,2000,0,15.31382191,2000,0,15.31382191,2000,0,15.31382191,2000,0,15.31382191,2000,0,15.31382191,2000
"33",4408,5435,1051,259,14,600,0,14.90202165,2000,0,901.1649742,2000,0,901.1649742,2000,0,901.1649742,2000,0,901.1649742,2000,0,901.1649742,2000
"34",4414,5442,1055,259,15,598,0,20.6635573,2000,0,901.0884699,2000,0,901.0884699,2000,0,901.0884699,2000,0,901.0884699,2000,0,901.0884699,2000
"35",4416,5448,1060,259,14,600,0,20.42830003,2000,0,26.03046071,2000,0,26.03046071,2000,0,26.03046071,2000,0,26.03046071,2000,0,26.03046071,2000
"36",4434,5461,1069,257,14,592,0,12.29195241,2000,0,12.34921048,2000,0,12.34921048,2000,0,12.34921048,2000,0,12.34921048,2000,0,12.34921048,2000
"37",4179,5110,968,241,15,544,1,17.85333557,17.81833557,1,16.85155899,16.81655899,1,16.85155899,16.81655899,1,16.85155899,16.81655899,1,16.85155899,16.81655899,1,16.85155899,16.81655899
"38",4182,5115,972,241,15,544,1,162.5878652,162.5518652,1,343.253661,343.217661,1,343.253661,343.217661,1,343.253661,343.217661,1,343.253661,343.217661,1,343.253661,343.217661
"39",4393,5402,1052,257,14,595,0,31.64830088,2000,0,30.77449606,2000,0,30.77449606,2000,0,30.77449606,2000,0,30.77449606,2000,0,30.77449606,2000
"40",4390,5397,1052,257,14,594,0,30.89141402,2000,0,31.03773593,2000,0,31.03773593,2000,0,31.03773593,2000,0,31.03773593,2000,0,31.03773593,2000
"41",4398,5413,1053,257,14,594,0,900.7858502,2000,0,901.0490707,2000,0,901.0490707,2000,0,901.0490707,2000,0,901.0490707,2000,0,901.0490707,2000
"42",4395,5408,1052,257,14,593,0,900.9712794,2000,0,900.7052976,2000,0,900.7052976,2000,0,900.7052976,2000,0,900.7052976,2000,0,900.7052976,2000
"43",4350,5343,1029,256,14,587,0,14.62117399,2000,0,14.78671253,2000,0,14.78671253,2000,0,14.78671253,2000,0,14.78671253,2000,0,14.78671253,2000
"44",4364,5363,1034,256,14,589,0,35.65654981,2000,0,26.1114445,2000,0,26.1114445,2000,0,26.1114445,2000,0,26.1114445,2000,0,26.1114445,2000
"45",4364,5364,1034,256,14,589,0,21.07918334,2000,0,18.68232594,2000,0,18.68232594,2000,0,18.68232594,2000,0,18.68232594,2000,0,18.68232594,2000
"46",4350,5343,1030,256,14,587,0,14.36400839,2000,0,14.20553777,2000,0,14.20553777,2000,0,14.20553777,2000,0,14.20553777,2000,0,14.20553777,2000
"47",4405,5427,1051,259,15,599,0,900.8770696,2000,0,900.8150899,2000,0,900.8150899,2000,0,900.8150899,2000,0,900.8150899,2000,0,900.8150899,2000
"48",4413,5440,1056,259,15,599,0,13.94948996,2000,0,13.63717767,2000,0,13.63717767,2000,0,13.63717767,2000,0,13.63717767,2000,0,13.63717767,2000
"49",4151,5067,964,238,14,538,0,11.08169342,2000,0,13.68296476,2000,0,13.68296476,2000,0,13.68296476,2000,0,13.68296476,2000,0,13.68296476,2000
"50",4425,5461,1060,262,14,606,0,901.1882419,2000,0,900.3101786,2000,0,900.3101786,2000,0,900.3101786,2000,0,900.3101786,2000,0,900.3101786,2000
"51",4221,5177,997,244,14,556,0,7.235825931,2000,0,7.422808797,2000,0,7.422808797,2000,0,7.422808797,2000,0,7.422808797,2000,0,7.422808797,2000
"52",4386,5397,1041,259,15,594,0,40.00889008,2000,0,46.65649767,2000,0,46.65649767,2000,0,46.65649767,2000,0,46.65649767,2000,0,46.65649767,2000
"53",4382,5391,1040,259,15,593,0,46.76561917,2000,0,38.88584541,2000,0,38.88584541,2000,0,38.88584541,2000,0,38.88584541,2000,0,38.88584541,2000
"54",4402,5421,1052,259,15,598,0,901.1095152,2000,0,902.2267678,2000,0,902.2267678,2000,0,902.2267678,2000,0,902.2267678,2000,0,902.2267678,2000
"55",4402,5421,1052,259,15,598,0,901.6863203,2000,0,901.1831593,2000,0,901.1831593,2000,0,901.1831593,2000,0,901.1831593,2000,0,901.1831593,2000
"56",4402,5421,1052,259,15,598,0,900.3549226,2000,0,900.935772,2000,0,900.935772,2000,0,900.935772,2000,0,900.935772,2000,0,900.935772,2000
"57",4420,5451,1057,259,15,600,0,900.3715781,2000,0,900.5396095,2000,0,900.5396095,2000,0,900.5396095,2000,0,900.5396095,2000,0,900.5396095,2000
"58",4428,5463,1061,259,15,600,0,37.85135243,2000,0,900.920333,2000,0,900.920333,2000,0,900.920333,2000,0,900.920333,2000,0,900.920333,2000
"59",4426,5460,1061,259,15,602,0,901.1081426,2000,0,901.4670025,2000,0,901.4670025,2000,0,901.4670025,2000,0,901.4670025,2000,0,901.4670025,2000
"60",5256,6596,1292,296,16,792,0,16.89368251,2000,0,16.95369232,2000,0,16.95369232,2000,0,16.95369232,2000,0,16.95369232,2000,0,16.95369232,2000
