"","NODES","EDGES","VARS","FUNCS","LOOPS","SMCC","CRT.S0","CPU.S0","TIM.S0","CRT.S10","CPU.S10","TIM.S10","CRT.S20","CPU.S20","TIM.S20","CRT.S30","CPU.S30","TIM.S30","CRT.S40","CPU.S40","TIM.S40","CRT.S50","CPU.S50","TIM.S50"
"1",2575,2967,461,148,3,288,0,7.722263764,2000,0,8.335864094,2000,0,8.335864094,2000,0,8.335864094,2000,0,8.335864094,2000,0,8.335864094,2000
"2",2557,2939,455,146,3,284,0,7.794396725,2000,0,7.584379662,2000,0,7.584379662,2000,0,7.584379662,2000,0,7.584379662,2000,0,7.584379662,2000
"3",4396,5407,1045,257,14,599,0,682.0768147,2000,0,687.4673031,2000,0,681.8452165,2000,0,681.8452165,2000,0,682.5516475,2000,0,682.5516475,2000
"4",4396,5407,1045,257,14,599,0,755.7161284,2000,0,900.3634647,2000,0,900.3545885,2000,0,900.3545885,2000,0,900.3710564,2000,0,900.3710564,2000
"5",4393,5402,1045,257,14,598,0,900.3322025,2000,0,900.3495912,2000,0,900.3312048,2000,0,900.3312048,2000,0,900.3351634,2000,0,900.3351634,2000
"6",4406,5424,1044,257,14,605,0,900.3847376,2000,0,900.3802577,2000,0,900.3491634,2000,0,900.3491634,2000,0,900.7061271,2000,0,900.7061271,2000
"7",4406,5424,1044,257,14,605,0,329.176067,2000,0,900.604001,2000,0,900.604001,2000,1,861.4371946,861.4001946,0,900.604001,2000,1,861.4371946,861.4001946
"8",4400,5413,1043,257,14,601,0,744.9023554,2000,0,745.1266723,2000,0,754.9795563,2000,0,754.9795563,2000,0,746.2126908,2000,0,746.2126908,2000
"9",3365,4038,714,201,7,430,0,900.3261139,2000,0,900.366229,2000,0,900.366229,2000,0,900.3729518,2000,0,900.366229,2000,0,900.366229,2000
"10",3307,3947,697,198,6,415,0,900.3011036,2000,0,900.2995258,2000,0,900.2995258,2000,0,900.3041685,2000,0,900.2995258,2000,0,900.2995258,2000
"11",3101,3661,622,180,6,366,0,250.4063013,2000,0,900.3351401,2000,0,900.3351401,2000,0,900.328132,2000,0,900.3351401,2000,0,900.3351401,2000
