TASK,UNREACH,RET.DBB,MEM.DBB,RET.OBB,MEM.OBB,NCD.OBB
ldv-challenges/linux-3.14_complex_emg_linux-drivers-clk1_drivers-net-ethernet-smsc-smsc911x.cil.yml,ttt,TIMEOUT,1342.73024,TIMEOUT,1509.916672,
ldv-consumption/32_7a_cilled_linux-3.8-rc1-32_7a-drivers--mtd--ubi--ubi.ko-ldv_main3_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,1476.694016,ttt,1587.01568,32614
ldv-consumption/32_7a_cilled_linux-3.8-rc1-drivers--net--wireless--iwlwifi--iwlwifi.ko-main.cil.out.yml,ttt,EXCEPTION,519.10656,ERROR (recursion),572.121088,505
ldv-linux-3.12-rc1/linux-3.12-rc1.tar.xz-144_2a-drivers--net--usb--cdc_mbim.ko-entry_point.cil.out.yml,ttt,ERROR (recursion),265.5232,ERROR (recursion),274.26816,2163
ldv-linux-3.16-rc1/205_9a_array_unsafes_linux-3.16-rc1.tar.xz-205_9a-drivers--net--phy--dp83640.ko-entry_point.cil.out.yml,fff,fff,628.830208,fff,659.94752,106256
ldv-linux-3.16-rc1/43_2a_consumption_linux-3.16-rc1.tar.xz-43_2a-drivers--tty--isicom.ko-entry_point.cil.out.yml,ttt,EXCEPTION,281.296896,EXCEPTION,278.511616,
ldv-linux-3.4-simple/32_1_cilled_ok_nondet_linux-3.4-32_1-drivers--hwmon--smsc47b397.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,198.631424,ttt,200.511488,101
ldv-linux-3.4-simple/32_1_cilled_ok_nondet_linux-3.4-32_1-drivers--media--dvb--dvb-usb--dvb-usb-dibusb-mb.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,234.377216,ttt,243.58912,122
ldv-linux-3.4-simple/32_1_cilled_ok_nondet_linux-3.4-32_1-drivers--media--rc--keymaps--rc-pinnacle-pctv-hd.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,143.4624,ttt,143.54432,13
ldv-linux-3.4-simple/32_1_cilled_ok_nondet_linux-3.4-32_1-drivers--net--phy--micrel.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,188.555264,ttt,182.591488,89
ldv-linux-3.4-simple/32_1_cilled_ok_nondet_linux-3.4-32_1-drivers--staging--serqt_usb2--serqt_usb2.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,301.73184,ttt,291.565568,405
ldv-linux-3.4-simple/32_7_cilled_const_ok_linux-32_1-drivers--video--aty--atyfb.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,fff,TIMEOUT,2548.948992,TIMEOUT,2414.034944,
ldv-linux-3.4-simple/43_1a_cilled_ok_nondet_linux-43_1a-drivers--input--misc--adxl34x-spi.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,164.876288,ttt,168.787968,30
ldv-linux-3.4-simple/43_1a_cilled_ok_nondet_linux-43_1a-drivers--media--dvb--frontends--isl6421.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,165.421056,ttt,168.718336,3
ldv-linux-3.4-simple/43_1a_cilled_ok_nondet_linux-43_1a-drivers--media--rc--keymaps--rc-videomate-m1f.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,143.38048,ttt,143.986688,7
ldv-linux-3.4-simple/43_1a_cilled_ok_nondet_linux-43_1a-drivers--net--wireless--mwifiex--mwifiex_pcie.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,329.50272,ttt,321.82272,485
ldv-linux-3.4-simple/43_1a_cilled_ok_nondet_linux-43_1a-drivers--uio--uio_sercos3.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,190.615552,ttt,193.298432,67
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--crypto--qat--qat_common--intel_qat.ko-entry_point.cil.out.yml,ttt,TIMEOUT,641.007616,TIMEOUT,613.617664,
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--usb--serial--usbserial.ko-entry_point.cil.out.yml,fff,TIMEOUT,463.4624,TIMEOUT,489.938944,
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--net--wireless--rtlwifi--btcoexist--btcoexist.ko-entry_point.cil.out.yml,ttt,ERROR (recursion),318.685184,ERROR (recursion),318.660608,96
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--net--ethernet--cavium--liquidio--liquidio.ko-entry_point.cil.out.yml,ttt,EXCEPTION,659.853312,EXCEPTION,646.30784,
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--usb--class--cdc-acm.ko-entry_point.cil.out.yml,ttt,ttt,295.452672,ttt,283.254784,1215
uthash-2.0.2/uthash_SAX_test1-1.yml,ttt,TIMEOUT,693.239808,TIMEOUT,690.40128,
ldv-commit-tester/main0_drivers-net-wireless-ath-carl9170-carl9170-ko--32_7a--8a9f335-1.yml,fff,EXCEPTION,666.750976,EXCEPTION,708.268032,
ldv-consumption/32_7a_cilled_linux-3.8-rc1-32_7a-net--netfilter--ipvs--ip_vs.ko-ldv_main13_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ERROR (recursion),1284.026368,ERROR (recursion),1425.63328,4171
ldv-linux-3.0/module_get_put-drivers-net-wan-farsync.ko.cil.out.yml,fff,ERROR,362.53696,ERROR,373.932032,29627
ldv-linux-3.14/linux-3.14_linux-drivers-clk1_drivers-net-ethernet-intel-e1000-e1000.cil.yml,ttt,ERROR (recursion),612.581376,ERROR (recursion),598.106112,34930
ldv-linux-3.16-rc1/43_2a_consumption_linux-3.16-rc1.tar.xz-43_2a-drivers--input--gameport--ns558.ko-entry_point.cil.out.yml,ttt,ttt,174.419968,ttt,179.859456,126
ldv-linux-3.4-simple/32_1_cilled_ok_nondet_linux-3.4-32_1-drivers--clocksource--cs5535-clockevt.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,151.269376,ttt,151.126016,54
ldv-linux-3.4-simple/32_1_cilled_ok_nondet_linux-3.4-32_1-drivers--input--touchscreen--touchit213.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,173.297664,ttt,175.4112,73
ldv-linux-3.4-simple/32_1_cilled_ok_nondet_linux-3.4-32_1-drivers--media--rc--keymaps--rc-cinergy.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,145.760256,ttt,145.944576,13
ldv-linux-3.4-simple/32_1_cilled_ok_nondet_linux-3.4-32_1-drivers--misc--sgi-xp--xp.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,170.33216,ttt,170.119168,20
ldv-linux-3.4-simple/32_1_cilled_ok_nondet_linux-3.4-32_1-drivers--rtc--rtc-ds3232.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,211.550208,ttt,233.578496,124
ldv-linux-3.4-simple/32_1_cilled_ok_nondet_linux-3.4-32_1-drivers--uwb--i1480--i1480-est.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,161.042432,ttt,161.62816,18
ldv-linux-3.4-simple/43_1a_cilled_ok_nondet_linux-43_1a-drivers--hid--hid-ortek.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,157.548544,ttt,158.244864,10
ldv-linux-3.4-simple/43_1a_cilled_ok_nondet_linux-43_1a-drivers--media--common--tuners--max2165.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,205.869056,ttt,204.824576,161
ldv-linux-3.4-simple/43_1a_cilled_ok_nondet_linux-43_1a-drivers--media--rc--keymaps--rc-it913x-v1.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,144.71168,ttt,145.780736,7
ldv-linux-3.4-simple/43_1a_cilled_ok_nondet_linux-43_1a-drivers--mtd--nftl.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.yml,ttt,ttt,301.883392,ttt,289.15712,285
