FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,401,13932,34.74,3385,111,785321,569.571,325.383,48.419,261.689,238.445
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,0,0,0.00,0,none,1866,1.576,5.655,0.001,5.225,4.334
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,0,0,0.00,0,none,1877,7.391,20.146,0.010,18.698,16.435
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,0,none,948,0.729,2.080,0.002,1.722,1.220
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,0,none,828,none,1.847,0.001,1.258,0.505
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,16,50,3.13,10,0,5524,7.603,14.951,0.126,13.734,11.894
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,2,4,2.00,1,1,1986,0.069,6.560,0.034,6.084,5.148
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,141,1280,9.08,203,51,54571,42.820,53.222,13.511,27.939,21.463
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,122,1097,8.99,179,27,27823,127.947,35.239,5.325,26.320,19.103
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,0,none,828,none,1.804,0.002,1.288,0.527
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,27,4.50,21,0,2413,3.582,5.310,3.773,0.868,0.158
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,20,4.00,15,0,2031,2.869,3.523,2.115,0.778,0.106
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,20,4.00,15,0,2031,2.452,3.556,2.189,0.870,0.078
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,20,4.00,15,0,2031,2.673,3.688,2.317,0.795,0.110
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,6,0,1338,1.494,2.307,1.243,0.669,0.077
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,9,3.00,6,0,1327,1.245,2.157,1.077,0.673,0.058
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,9,3.00,6,0,1330,1.325,2.234,1.133,0.674,0.105
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,9,3.00,6,0,1327,1.249,2.234,1.034,0.704,0.066
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,20,4.00,15,0,2444,5.694,6.266,4.608,0.997,0.327
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,20,4.00,15,0,2334,3.775,4.372,2.855,0.959,0.193
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,54,6.00,45,0,3870,25.416,26.446,24.042,1.375,2.446
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,20,4.00,15,0,2334,3.821,4.792,3.057,0.943,0.182
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,54,6.00,45,0,3781,24.209,28.099,25.816,1.197,2.440
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,14,3.50,10,0,1922,2.104,3.257,1.697,0.920,0.105
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,20,4.00,15,0,2285,6.167,6.219,4.516,0.902,0.287
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,20,4.00,15,0,2340,3.539,4.842,3.121,1.147,0.218
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,20,4.00,15,0,2338,5.744,5.820,4.341,0.816,0.264
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,9,54,6.00,45,0,3959,25.849,26.602,24.230,1.256,2.958
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,5,20,4.00,15,0,2391,5.926,6.460,4.794,0.996,0.274
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,15,135,9.00,105,0,5293,50.582,68.053,65.299,1.412,5.103
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,14,119,8.50,91,0,4871,35.974,38.933,36.231,1.380,4.040
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,15,135,9.00,106,1,5369,64.257,120.597,117.435,1.542,9.786
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,15,135,9.00,106,1,5369,52.614,79.368,76.386,1.491,7.363
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,19,209,11.00,173,0,7614,268.234,629.888,624.752,1.821,49.144
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c,18,189,10.50,171,0,7222,392.060,508.254,502.130,1.649,100.915
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c,23,299,13.00,276,0,10598,539.397,358.701,351.777,2.087,96.268
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c,17,170,10.00,142,0,7046,415.458,482.577,476.533,1.700,139.114
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c,19,209,11.00,183,0,7870,320.669,577.042,572.011,1.878,149.138
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c,10,65,6.50,55,0,4394,873.735,24.432,21.715,1.356,826.939
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c,13,104,8.00,81,0,5281,609.273,288.863,285.597,1.663,544.040
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.11_true-unreach-call.i.cil.c,16,152,9.50,136,0,6866,521.617,376.575,371.833,1.812,236.967
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c,18,189,10.50,171,0,7828,566.622,331.444,325.733,1.861,155.540
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c,17,170,10.00,141,0,7063,443.318,454.735,447.574,1.770,210.750
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c,19,209,11.00,178,0,8288,400.609,497.519,492.329,2.040,143.932
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.15_true-unreach-call.i.cil.c,21,252,12.00,213,0,8883,364.123,533.973,527.735,2.031,126.585
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.16_true-unreach-call.i.cil.c,21,252,12.00,231,0,9497,449.126,450.047,443.795,2.033,71.998
