FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,409,14441,35.31,none,none,802904,598.795,296.204,none,280.288,254.526
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,0,0,0.00,none,none,1866,1.550,5.576,none,5.156,4.259
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,0,0,0.00,none,none,1877,6.881,18.104,none,16.830,14.769
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,none,none,948,0.713,2.211,none,1.953,1.304
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,none,none,828,none,2.049,none,1.694,0.859
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,16,50,3.13,none,none,5524,6.171,14.696,none,13.664,11.722
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,4,10,2.50,none,none,2079,0.079,6.731,none,6.250,5.264
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,362,3720,10.28,none,none,164944,205.700,63.105,none,40.400,30.085
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,248,2402,9.69,none,none,67417,171.457,33.269,none,28.348,19.053
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,none,none,828,none,1.825,none,1.440,0.681
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,27,4.50,none,none,2413,4.448,1.572,none,0.901,0.267
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.617,1.381,none,0.769,0.192
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.207,1.474,none,0.769,0.123
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.576,1.381,none,0.882,0.137
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,none,none,1338,1.760,1.208,none,0.857,0.137
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,9,3.00,none,none,1327,1.663,1.146,none,0.765,0.093
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,9,3.00,none,none,1330,1.703,1.186,none,0.791,0.116
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,9,3.00,none,none,1327,1.635,1.233,none,0.773,0.074
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,20,4.00,none,none,2444,6.312,1.713,none,1.091,0.397
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,20,4.00,none,none,2334,3.929,1.661,none,1.100,0.257
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,54,6.00,none,none,3870,29.229,2.550,none,1.409,3.131
