FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,218,23478,108.19,none,none,164007,70.510,824.971,none,8.851,605.546
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,13,99,8.25,none,none,5729,0.685,3.757,none,0.943,0.742
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,8,77,11.00,none,none,5124,3.457,12.456,none,2.138,6.025
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,37,680,18.89,none,none,21435,1.471,7.275,none,1.853,1.128
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,4,20,6.67,none,none,1256,0.542,2.617,none,0.827,0.593
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,416,5288,12.74,none,none,147336,7.809,38.723,none,6.302,9.681
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,134,3390,25.49,none,none,68596,3.118,21.505,none,4.622,4.670
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,3850,109116,28.35,none,none,893248,41.367,47.368,none,15.152,4.666
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,839,13390,15.98,none,none,195920,23.393,105.750,none,6.904,82.466
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,5,29,7.25,none,none,1633,0.267,3.268,none,1.297,0.668
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,5,25,6.25,none,none,8246,3.417,5.203,none,1.401,1.725
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,3,11,5.50,none,none,4505,1.930,3.355,none,1.192,0.927
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,3,11,5.50,none,none,4505,2.064,3.605,none,1.213,1.104
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,3,11,5.50,none,none,4505,1.792,3.368,none,1.010,0.996
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,2,4,4.00,none,none,1978,1.234,2.224,none,0.729,0.708
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,2,4,4.00,none,none,1965,0.958,2.147,none,0.795,0.630
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,2,4,4.00,none,none,1969,1.018,2.285,none,0.833,0.696
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,2,4,4.00,none,none,1965,0.993,2.153,none,0.750,0.618
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,18,4.50,none,none,6051,4.001,4.275,none,1.449,1.321
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,4,17,5.67,none,none,6611,3.204,4.713,none,1.333,1.799
