FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,3013,513640,170.47,none,none,203396,883.542,14.730,none,10.058,0.736
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,38,286,7.53,none,none,1225,1.467,0.972,none,0.601,0.063
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,45,483,10.73,none,none,2537,6.058,2.798,none,1.898,0.036
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,66,1153,17.47,none,none,2772,2.473,1.545,none,0.956,0.149
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,13,88,6.77,none,none,868,0.949,1.077,none,0.828,0.008
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,444,7019,15.81,none,none,14862,16.237,5.219,none,3.171,0.905
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,1772,99226,56.00,none,none,64427,33.269,10.412,none,7.056,2.358
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,3534,204325,57.82,none,none,332300,58.478,30.843,none,19.024,0.635
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,751,27527,36.65,none,none,55658,47.375,17.154,none,13.515,0.590
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,17,124,7.29,none,none,1153,0.695,1.273,none,0.857,0.014
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,33,5.50,none,none,2408,4.617,1.586,none,1.007,0.288
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,25,5.00,none,none,2027,3.192,1.369,none,0.803,0.119
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,25,5.00,none,none,2027,3.673,1.365,none,0.816,0.186
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,25,5.00,none,none,2027,3.007,1.336,none,0.822,0.127
