FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,2904,318936,109.83,9532,0,92110,174.743,719.776,711.616,5.389,0.234
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,222,9072,40.86,289,210,11901,7.464,7.627,3.283,2.869,0.881
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,144,2637,18.31,64,50,7719,13.948,6.871,0.704,4.491,0.168
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,54,921,17.06,11,5,2212,2.229,1.521,0.176,0.883,0.148
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,6,33,5.50,0,none,1706,0.343,1.694,0.011,1.028,0.002
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,192,2213,11.53,190,95,9381,3.663,8.386,4.385,2.590,0.409
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,252,9560,37.94,456,288,12588,7.571,10.474,5.759,3.110,1.256
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,296,11749,39.69,948,454,15983,12.245,19.832,12.577,4.847,0.391
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,214,3746,17.50,234,114,9308,15.983,13.244,6.348,4.974,0.260
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,6,33,5.50,0,none,1710,0.333,1.795,0.020,1.022,0.006
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,33,5.50,21,0,2407,3.968,4.994,3.309,0.948,0.189
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,25,5.00,15,0,2026,2.696,3.575,2.101,0.864,0.118
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,25,5.00,15,0,2026,2.742,3.481,1.971,0.931,0.119
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,25,5.00,15,0,2026,2.769,3.678,2.224,0.809,0.110
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,12,4.00,6,0,1334,1.511,2.343,1.067,0.699,0.084
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,12,4.00,6,0,1323,1.311,2.331,1.106,0.666,0.075
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,12,4.00,6,0,1326,1.332,2.272,1.092,0.658,0.070
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,12,4.00,6,0,1323,1.303,2.243,1.012,0.812,0.054
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,25,5.00,15,0,2438,6.561,6.000,4.285,1.048,0.286
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,25,5.00,15,0,2328,3.750,4.654,3.064,1.036,0.166
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,63,7.00,45,0,3860,31.392,31.960,29.342,1.399,3.943
