FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,218,23484,108.22,none,none,103917,68.286,827.388,none,5.085,606.137
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,14,144,11.08,none,none,3665,0.824,3.557,none,0.788,0.811
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,5,62,15.50,none,none,1637,3.577,5.285,none,1.206,2.153
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,19,351,19.50,none,none,7871,1.330,4.290,none,0.952,0.721
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,3,22,11.00,none,none,637,0.638,1.334,none,0.484,0.199
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,189,3065,16.30,none,none,85153,5.060,27.766,none,5.839,7.613
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,97,4659,48.53,none,none,86173,3.397,22.152,none,4.716,4.271
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,1785,77181,43.26,none,none,458234,29.739,33.890,none,11.271,3.059
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,319,9597,30.18,none,none,102760,42.129,181.462,none,6.127,160.039
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,94,1956,21.03,none,none,34029,2.592,15.431,none,5.080,2.591
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,5,25,6.25,none,none,8242,3.396,5.174,none,1.516,1.873
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,3,11,5.50,none,none,4503,2.009,3.465,none,1.188,0.943
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,3,11,5.50,none,none,4503,2.109,3.602,none,1.121,1.055
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,3,11,5.50,none,none,4503,1.678,3.417,none,1.145,0.988
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,2,4,4.00,none,none,1978,1.157,2.288,none,0.856,0.632
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,2,4,4.00,none,none,1965,0.985,2.201,none,0.785,0.660
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,2,4,4.00,none,none,1969,1.023,2.208,none,0.752,0.509
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,2,4,4.00,none,none,1965,0.977,2.168,none,0.813,0.509
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,18,4.50,none,none,6048,4.067,4.187,none,1.357,1.283
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,4,17,5.67,none,none,6610,3.339,4.909,none,1.420,1.939
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,7,35,5.83,none,none,12017,13.607,11.498,none,2.128,5.458
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,4,17,5.67,none,none,6610,4.255,4.608,none,1.412,1.615
