FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,439,16597,37.81,none,none,455455,731.785,163.423,none,153.857,136.630
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,2,5,2.50,none,none,1982,0.351,4.624,none,4.225,3.315
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,269,2636,9.80,none,none,77886,206.040,27.072,none,21.486,9.845
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,none,none,948,0.731,2.118,none,1.824,1.246
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,none,none,5178,none,3.464,none,2.319,0.590
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,25,91,3.64,none,none,6457,8.740,14.149,none,13.005,10.832
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,5,14,2.80,none,none,2116,0.086,6.844,none,6.463,5.411
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,528,5605,10.62,none,none,228210,257.152,62.653,none,37.951,26.425
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,375,3739,9.97,none,none,96845,246.982,33.630,none,27.721,15.004
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,none,none,5178,none,3.476,none,2.496,0.572
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,27,4.50,none,none,2341,4.432,1.585,none,0.914,0.286
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,20,4.00,none,none,1966,3.464,1.443,none,0.811,0.200
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,20,4.00,none,none,1966,3.362,1.388,none,0.823,0.164
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,20,4.00,none,none,1966,3.334,1.357,none,0.825,0.149
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,none,none,1299,1.760,1.212,none,0.630,0.079
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,9,3.00,none,none,1285,1.714,1.014,none,0.705,0.091
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,9,3.00,none,none,1288,1.645,1.167,none,0.633,0.074
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,9,3.00,none,none,1285,1.586,1.211,none,0.633,0.095
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,20,4.00,none,none,2376,6.671,1.742,none,0.925,0.461
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,20,4.00,none,none,2266,3.862,1.633,none,1.007,0.207
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,54,6.00,none,none,3750,28.612,2.435,none,1.390,3.036
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,20,4.00,none,none,2266,4.089,1.600,none,0.912,0.240
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,54,6.00,none,none,3661,33.690,2.576,none,1.474,4.406
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,14,3.50,none,none,1867,2.581,1.450,none,0.963,0.142
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,20,4.00,none,none,2217,6.851,1.621,none,1.110,0.317
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,20,4.00,none,none,2272,4.164,1.628,none,0.907,0.269
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,20,4.00,none,none,2270,5.676,1.686,none,1.103,0.346
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,9,54,6.00,none,none,3839,27.816,2.527,none,1.373,3.694
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,5,20,4.00,none,none,2323,6.514,1.638,none,1.113,0.461
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,17,170,10.00,none,none,5965,127.435,3.725,none,1.675,20.797
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,19,209,11.00,none,none,6594,117.417,4.068,none,1.639,25.866
