FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,218,23685,109.15,none,none,102679,73.679,821.645,none,5.307,601.978
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,55,1952,36.15,none,none,39165,2.457,14.705,none,3.598,3.064
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,77,1354,17.82,none,none,59493,6.494,32.575,none,5.150,16.875
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,28,564,20.89,none,none,11914,1.425,5.333,none,1.450,0.739
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,2,8,8.00,none,none,4870,0.151,5.627,none,2.077,0.881
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,565,9223,16.35,none,none,171084,10.308,39.869,none,6.977,9.341
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,146,5626,38.80,none,none,135803,4.267,25.839,none,5.657,4.158
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,1817,65167,35.88,none,none,535492,24.507,40.715,none,13.389,3.668
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,595,12863,21.65,none,none,220811,36.152,85.760,none,7.151,61.577
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,2,8,8.00,none,none,4870,0.167,5.508,none,2.119,0.837
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,5,25,6.25,none,none,8033,3.470,5.213,none,1.332,2.015
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,3,11,5.50,none,none,4383,1.930,3.305,none,1.092,0.896
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,3,11,5.50,none,none,4383,1.951,3.590,none,1.244,1.187
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,3,11,5.50,none,none,4383,1.796,3.324,none,0.978,0.914
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,2,4,4.00,none,none,1929,1.119,2.198,none,0.892,0.712
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,2,4,4.00,none,none,1912,1.012,2.201,none,0.742,0.641
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,2,4,4.00,none,none,1916,1.022,2.112,none,0.804,0.663
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,2,4,4.00,none,none,1912,1.002,2.062,none,0.837,0.611
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,18,4.50,none,none,5905,4.196,4.126,none,1.301,1.483
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,4,17,5.67,none,none,6447,3.231,4.641,none,1.398,1.872
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,7,35,5.83,none,none,11690,14.035,12.162,none,2.118,5.894
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,4,17,5.67,none,none,6447,4.449,4.515,none,1.490,1.715
