FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,2508,271595,108.29,9645,0,70369,155.208,739.093,732.569,4.463,0.424
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,144,4397,30.53,138,87,6019,5.391,4.031,1.384,1.804,0.494
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,198,5085,25.68,585,148,7229,19.327,13.756,8.628,3.722,0.139
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,49,854,17.43,13,6,1698,2.157,1.285,0.212,0.698,0.097
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,5,61,12.20,72552,400,10313,0.426,895.494,891.708,2.621,0.014
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,181,2207,12.19,283,180,7813,3.921,10.879,7.677,2.005,0.541
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,233,8096,34.75,373,262,9868,6.966,8.352,4.585,2.550,1.133
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,324,13412,41.40,979,351,15844,13.714,21.519,14.804,4.703,0.397
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,328,9319,28.41,1688,346,10689,23.210,37.293,30.646,4.708,0.362
/home/spiral/pacc_cpachecker_trunk/sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,5,61,12.20,73205,402,10341,0.444,895.439,891.738,2.342,0.014
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,33,5.50,21,0,2341,3.915,4.760,3.217,0.939,0.179
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,25,5.00,15,0,1966,2.821,3.538,2.130,0.812,0.127
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,25,5.00,15,0,1966,2.797,3.338,1.868,0.870,0.111
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,25,5.00,15,0,1966,2.876,3.737,2.307,0.868,0.127
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,12,4.00,6,0,1299,1.521,2.304,1.204,0.638,0.087
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,12,4.00,6,0,1285,1.280,2.169,1.176,0.695,0.058
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,12,4.00,6,0,1288,1.363,2.246,1.196,0.665,0.075
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,12,4.00,6,0,1285,1.323,2.105,1.131,0.664,0.086
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,25,5.00,15,0,2376,6.457,5.924,4.310,0.892,0.261
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,25,5.00,15,0,2266,3.483,4.610,2.977,0.983,0.201
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,63,7.00,45,0,3750,32.179,32.076,29.673,1.211,4.508
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,25,5.00,15,0,2266,4.572,5.028,3.359,1.024,0.213
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,63,7.00,45,0,3661,27.215,32.658,30.214,1.238,4.230
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,18,4.50,10,0,1867,2.039,3.027,1.492,0.968,0.137
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,25,5.00,15,0,2217,5.908,5.916,4.268,0.973,0.357
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,25,5.00,15,0,2272,4.209,4.516,3.028,0.962,0.216
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,25,5.00,15,0,2270,7.159,6.791,5.213,1.073,0.444
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,9,63,7.00,45,0,3839,34.837,26.780,24.406,1.264,4.955
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,5,25,5.00,15,0,2323,6.147,6.209,4.596,0.910,0.332
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,15,150,10.00,106,1,5418,60.571,132.885,129.669,1.490,6.776
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,15,150,10.00,106,1,5355,55.475,82.238,79.069,1.589,10.694
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,15,150,10.00,106,1,5355,66.232,84.842,81.600,1.623,9.333
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,15,150,10.00,106,1,5355,69.199,92.877,89.689,1.583,10.042
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,18,207,11.50,156,0,6996,350.529,547.614,542.637,1.721,54.813
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c,18,207,11.50,157,0,6880,352.245,545.895,540.274,1.837,83.032
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c,15,150,10.00,120,0,6784,853.336,44.788,41.575,1.616,727.165
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c,15,150,10.00,120,0,6256,413.434,484.444,479.260,1.659,202.037
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c,18,207,11.50,162,0,7221,265.721,632.401,626.705,1.733,112.416
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c,15,150,10.00,120,0,6256,473.619,424.447,417.822,1.781,295.936
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c,16,168,10.50,136,0,6421,448.888,449.624,444.510,1.804,261.053
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.11_true-unreach-call.i.cil.c,15,150,10.00,112,0,6024,470.234,427.838,421.275,1.653,278.706
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c,17,187,11.00,153,0,7179,454.637,447.482,440.453,1.751,149.421
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c,15,150,10.00,120,0,6272,464.573,433.511,428.382,1.740,246.092
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c,20,250,12.50,192,0,8459,463.787,434.285,427.506,1.962,150.246
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.15_true-unreach-call.i.cil.c,20,250,12.50,210,0,8357,410.319,488.161,482.626,1.970,173.146
/home/spiral/pacc_cpachecker_trunk/sv-comp/ssh/s3_srvr.blast.16_true-unreach-call.i.cil.c,19,228,12.00,190,0,8361,776.350,121.699,117.020,1.851,545.251
