FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,424,15473,36.49,none,none,824399,612.796,282.273,none,265.280,241.028,1519
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,0,0,0.00,none,none,1866,1.451,5.403,none,5.012,4.187,1
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,0,0,0.00,none,none,1877,5.533,18.403,none,17.169,15.217,6
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,none,none,948,0.680,2.163,none,1.919,1.387,0
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,none,none,828,none,1.699,none,1.351,0.437,9
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,16,50,3.13,none,none,5524,5.222,13.966,none,12.810,11.004,10
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,4,10,2.50,none,none,2079,0.105,6.250,none,5.776,4.938,3
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,362,3720,10.28,none,none,164944,182.985,55.258,none,35.619,25.828,423
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,242,2280,9.42,none,none,65442,166.968,30.024,none,25.563,17.156,298
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,none,none,828,none,1.706,none,1.297,0.456,9
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,27,4.50,none,none,2413,3.862,1.636,none,1.043,0.277,7
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.402,1.278,none,0.733,0.167,6
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.058,1.345,none,0.819,0.133,6
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.367,1.367,none,0.822,0.144,6
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,none,none,1338,1.611,1.208,none,0.629,0.084,4
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,9,3.00,none,none,1327,1.523,1.099,none,0.560,0.069,4
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,9,3.00,none,none,1330,1.549,1.151,none,0.685,0.059,4
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,9,3.00,none,none,1327,1.497,1.131,none,0.641,0.073,4
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,20,4.00,none,none,2444,5.980,1.680,none,1.026,0.386,6
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,20,4.00,none,none,2334,3.748,1.527,none,0.840,0.208,6
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,54,6.00,none,none,3870,25.583,2.350,none,1.228,2.740,10
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,20,4.00,none,none,2334,3.873,1.621,none,1.058,0.237,6
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,54,6.00,none,none,3781,30.110,2.379,none,1.388,3.815,10
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,14,3.50,none,none,1922,2.451,1.475,none,0.920,0.169,5
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,20,4.00,none,none,2285,5.790,1.610,none,0.977,0.328,6
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,20,4.00,none,none,2340,4.082,1.570,none,1.007,0.295,6
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,20,4.00,none,none,2338,5.332,1.625,none,0.880,0.344,6
sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,9,54,6.00,none,none,3959,29.461,2.453,none,1.426,3.883,10
sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,5,20,4.00,none,none,2391,6.158,1.637,none,0.956,0.330,6
sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,17,170,10.00,none,none,6013,119.772,3.726,none,1.556,20.973,17
sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,19,209,11.00,none,none,6646,108.512,3.691,none,1.603,24.205,19
sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,19,209,11.00,none,none,6646,112.532,3.567,none,1.626,20.437,19
sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,16,152,9.50,none,none,5581,58.010,3.069,none,1.471,9.460,16
sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,23,299,13.00,none,none,9308,887.473,10.606,none,2.001,362.104,24
sv-comp/ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c,20,230,11.50,none,none,8008,888.674,9.469,none,1.867,482.491,21
sv-comp/ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c,22,275,12.50,none,none,10146,892.005,6.055,none,2.061,445.920,23
sv-comp/ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c,16,152,9.50,none,none,6866,892.517,5.631,none,1.844,666.739,17
sv-comp/ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c,20,230,11.50,none,none,8432,891.081,7.006,none,2.062,555.116,21
sv-comp/ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c,18,189,10.50,none,none,7690,889.621,8.636,none,1.769,406.858,19
sv-comp/ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c,20,230,11.50,none,none,8244,892.515,7.818,none,1.857,406.763,21
sv-comp/ssh/s3_srvr.blast.11_true-unreach-call.i.cil.c,18,189,10.50,none,none,7690,890.206,8.009,none,1.853,431.473,19
sv-comp/ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c,18,189,10.50,none,none,7828,892.285,5.841,none,1.964,545.289,19
sv-comp/ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c,13,104,8.00,none,none,5644,894.521,3.647,none,1.521,798.247,14
sv-comp/ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c,21,252,12.00,none,none,9300,880.387,17.755,none,2.049,356.802,22
sv-comp/ssh/s3_srvr.blast.15_true-unreach-call.i.cil.c,16,152,9.50,none,none,6936,894.258,3.803,none,1.671,797.489,17
