FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,4632,810559,174.99,none,none,139857,883.317,9.952,none,6.419,0.720,17792
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,1396,83525,59.83,none,none,71112,26.448,11.005,none,7.473,1.306,8422
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,433,17499,40.41,none,none,31413,31.080,12.572,none,9.523,0.322,3568
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,62,1069,17.24,none,none,2734,2.158,1.568,none,1.010,0.168,293
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,6,33,5.50,none,none,1706,0.314,1.611,none,1.166,0.005,244
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,459,7195,15.68,none,none,17100,15.903,5.416,none,3.411,0.689,1593
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,2127,127938,60.15,none,none,85060,31.115,10.809,none,7.086,1.825,9860
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,9751,733493,75.22,none,none,738119,156.266,48.598,none,34.434,0.909,140227
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,1191,48416,40.65,none,none,89300,72.811,19.650,none,15.520,0.487,9072
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,6,33,5.50,none,none,1710,0.331,1.584,none,1.105,0.002,244
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,33,5.50,none,none,2407,4.265,1.649,none,1.010,0.359,14
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,25,5.00,none,none,2026,2.996,1.502,none,0.963,0.120,12
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,25,5.00,none,none,2026,3.341,1.319,none,0.754,0.141,12
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,25,5.00,none,none,2026,2.687,1.450,none,0.906,0.147,12
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,12,4.00,none,none,1334,1.805,1.163,none,0.681,0.087,9
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,12,4.00,none,none,1323,1.520,1.087,none,0.650,0.101,9
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,12,4.00,none,none,1326,1.622,1.127,none,0.657,0.067,9
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,12,4.00,none,none,1323,1.635,1.118,none,0.650,0.080,9
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,25,5.00,none,none,2438,6.092,1.637,none,0.967,0.338,13
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,25,5.00,none,none,2328,4.170,1.488,none,0.987,0.227,13
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,63,7.00,none,none,3860,26.582,2.446,none,1.170,3.471,21
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,25,5.00,none,none,2328,4.600,1.419,none,0.804,0.217,13
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,63,7.00,none,none,3771,31.347,2.607,none,1.364,5.427,21
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,18,4.50,none,none,1917,2.622,1.350,none,0.827,0.169,11
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,25,5.00,none,none,2279,6.427,1.540,none,0.826,0.397,13
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,25,5.00,none,none,2334,4.355,1.591,none,1.058,0.242,13
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,25,5.00,none,none,2332,6.820,1.669,none,1.051,0.486,13
sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,9,63,7.00,none,none,3949,26.538,2.413,none,1.375,4.203,21
sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,5,25,5.00,none,none,2385,6.873,1.613,none,1.048,0.386,13
sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,18,207,11.50,none,none,6357,117.503,3.783,none,1.573,16.714,36
sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,16,168,10.50,none,none,5567,125.686,3.273,none,1.547,27.177,32
sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,23,322,14.00,none,none,8398,890.097,8.069,none,1.666,438.431,48
sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,25,375,15.00,none,none,8753,361.957,5.139,none,1.651,94.911,50
sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,21,273,13.00,none,none,8488,897.370,7.512,none,2.034,220.180,45
sv-comp/ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c,19,228,12.00,none,none,7595,888.166,9.928,none,1.799,504.262,41
sv-comp/ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c,25,375,15.00,none,none,11476,884.517,14.665,none,2.236,242.806,53
sv-comp/ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c,16,168,10.50,none,none,6849,891.393,7.038,none,1.741,618.959,35
sv-comp/ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c,19,228,12.00,none,none,8000,892.133,6.209,none,2.028,579.938,41
sv-comp/ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c,16,168,10.50,none,none,6849,892.982,6.554,none,1.913,566.042,35
sv-comp/ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c,18,207,11.50,none,none,7419,892.415,6.751,none,1.668,543.155,39
sv-comp/ssh/s3_srvr.blast.11_true-unreach-call.i.cil.c,15,150,10.00,none,none,6438,891.084,7.041,none,1.694,639.888,33
sv-comp/ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c,17,187,11.00,none,none,7385,892.677,5.727,none,1.906,460.552,37
sv-comp/ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c,17,187,11.00,none,none,7278,887.446,11.057,none,1.759,505.958,37
sv-comp/ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c,19,228,12.00,none,none,8412,876.464,21.770,none,1.697,505.548,41
sv-comp/ssh/s3_srvr.blast.15_true-unreach-call.i.cil.c,22,297,13.50,none,none,9439,890.496,7.688,none,2.095,470.857,47
sv-comp/ssh/s3_srvr.blast.16_true-unreach-call.i.cil.c,16,168,10.50,none,none,7265,894.518,3.638,none,1.858,767.577,35
