FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,426,15652,36.74,none,none,821146,616.435,279.304,none,264.406,240.846,1412
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,0,0,0.00,none,none,1866,1.496,5.141,none,4.721,3.906,1
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,0,0,0.00,none,none,1877,4.842,18.768,none,17.493,15.451,6
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,none,none,948,0.693,1.988,none,1.719,1.162,0
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,none,none,828,none,1.721,none,1.389,0.498,9
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,16,50,3.13,none,none,5524,5.253,12.683,none,11.622,9.874,10
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,4,10,2.50,none,none,2079,0.083,5.968,none,5.561,4.702,3
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,357,3664,10.26,none,none,162832,176.546,53.907,none,33.407,24.885,417
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,244,2288,9.38,none,none,66318,166.990,31.836,none,27.283,18.352,300
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,none,none,828,none,1.720,none,1.315,0.575,9
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,27,4.50,none,none,2413,4.224,1.499,none,0.889,0.227,7
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.299,1.391,none,0.875,0.213,6
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.144,1.306,none,0.808,0.145,6
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.293,1.284,none,0.786,0.152,6
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,none,none,1338,1.624,1.187,none,0.713,0.100,4
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,9,3.00,none,none,1327,1.544,1.128,none,0.789,0.079,4
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,9,3.00,none,none,1330,1.562,1.127,none,0.778,0.084,4
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,9,3.00,none,none,1327,1.577,1.101,none,0.761,0.088,4
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,20,4.00,none,none,2444,5.999,1.626,none,0.958,0.382,6
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,20,4.00,none,none,2334,3.970,1.452,none,0.847,0.210,6
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,54,6.00,none,none,3870,26.674,2.313,none,1.298,2.686,10
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,20,4.00,none,none,2334,3.790,1.581,none,0.988,0.237,6
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,54,6.00,none,none,3781,31.665,2.362,none,1.215,4.232,10
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,14,3.50,none,none,1922,2.399,1.426,none,0.767,0.161,5
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,20,4.00,none,none,2285,6.067,1.630,none,0.845,0.295,6
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,20,4.00,none,none,2340,3.943,1.601,none,0.963,0.241,6
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,20,4.00,none,none,2338,5.276,1.646,none,0.975,0.294,6
