FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,454,17728,39.05,none,none,470317,741.251,154.214,none,144.545,127.436,1245
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,2,5,2.50,none,none,1982,0.334,4.346,none,3.924,3.134,3
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,267,2629,9.85,none,none,77244,210.821,25.424,none,20.481,9.414,412
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,none,none,948,0.675,2.040,none,1.771,1.170,0
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,none,none,5178,none,3.286,none,2.393,0.486,133
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,25,91,3.64,none,none,6457,8.052,13.846,none,12.709,10.859,16
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,5,14,2.80,none,none,2116,0.085,6.443,none,6.067,5.072,4
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,518,5516,10.65,none,none,221612,231.343,56.989,none,33.737,22.919,661
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,369,3748,10.16,none,none,94864,244.088,31.192,none,25.729,13.499,486
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,none,none,5178,none,3.446,none,2.412,0.554,133
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,27,4.50,none,none,2341,4.154,1.513,none,0.937,0.300,7
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,20,4.00,none,none,1966,3.270,1.298,none,0.794,0.148,6
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,20,4.00,none,none,1966,3.045,1.334,none,0.777,0.147,6
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,20,4.00,none,none,1966,3.240,1.250,none,0.763,0.154,6
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,none,none,1299,1.649,1.131,none,0.767,0.085,4
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,9,3.00,none,none,1285,1.549,1.066,none,0.718,0.114,4
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,9,3.00,none,none,1288,1.569,1.047,none,0.702,0.113,4
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,9,3.00,none,none,1285,1.567,1.105,none,0.646,0.130,4
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,20,4.00,none,none,2376,6.216,1.613,none,0.872,0.393,6
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,20,4.00,none,none,2266,3.661,1.557,none,0.892,0.212,6
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,54,6.00,none,none,3750,24.777,2.287,none,1.199,2.706,10
