FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,459,18115,39.47,1885,0,475271,716.101,179.695,23.827,146.337,129.702,1256
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,1,2,2.00,1,1,1945,0.308,4.226,0.039,3.856,2.978,2
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,103,975,9.47,372,84,27234,111.599,25.887,7.584,15.199,8.974,144
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,0,none,948,0.689,2.052,0.001,1.845,1.184,0
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,0,none,5178,none,3.239,0.008,2.269,0.677,133
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,16,50,3.13,15,5,5524,5.519,12.208,0.307,10.941,9.088,10
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,2,4,2.00,2,2,1986,0.075,6.006,0.021,5.645,4.750,2
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,40,105,2.63,36,33,19333,5.056,31.958,11.168,15.604,11.615,59
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,125,1155,9.24,359,71,28075,119.376,27.074,5.340,18.849,13.213,144
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,0,none,5178,none,3.208,0.030,2.193,0.500,133
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,27,4.50,21,0,2341,3.164,4.581,3.123,0.847,0.173,7
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,20,4.00,15,0,1966,2.796,3.314,1.879,0.868,0.081,6
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,20,4.00,15,0,1966,2.341,3.268,1.946,0.762,0.120,6
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,20,4.00,15,0,1966,2.350,3.323,1.923,0.786,0.116,6
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,6,0,1299,1.400,2.212,1.082,0.646,0.078,4
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,9,3.00,6,0,1285,1.177,2.021,1.107,0.600,0.094,4
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,9,3.00,6,0,1288,1.211,1.981,1.098,0.561,0.074,4
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,9,3.00,6,0,1285,1.211,2.029,0.958,0.588,0.076,4
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,20,4.00,15,0,2376,5.243,5.869,4.327,0.767,0.276,6
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,20,4.00,15,0,2266,3.701,4.224,2.639,1.030,0.124,6
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,54,6.00,45,0,3750,24.422,25.238,23.022,1.202,2.333,10
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,20,4.00,15,0,2266,3.464,4.333,2.786,0.913,0.150,6
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,54,6.00,45,0,3661,23.335,26.629,24.361,1.285,2.516,10
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,14,3.50,10,0,1867,1.957,2.929,1.523,0.830,0.107,5
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,20,4.00,15,0,2217,5.700,5.653,4.232,0.846,0.305,6
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,20,4.00,15,0,2272,3.185,4.538,2.905,1.132,0.246,6
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,20,4.00,15,0,2270,5.279,5.419,3.849,0.849,0.226,6
sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,9,54,6.00,45,0,3839,24.652,25.171,22.885,1.159,2.581,10
sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,5,20,4.00,15,0,2323,5.518,6.309,4.874,0.900,0.292,6
sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,15,135,9.00,105,0,5245,47.129,62.923,60.312,1.392,4.953,15
sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,14,119,8.50,91,0,4806,32.257,36.912,34.442,1.343,3.681,14
sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,15,135,9.00,106,1,5369,61.026,114.871,111.968,1.482,8.798,16
