FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,146,10560,72.33,none,none,5847186,87.511,807.226,none,703.036,676.982,21296
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,1,2,2.00,none,none,1982,0.311,4.404,none,3.907,2.952,4
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,222,1862,8.39,none,none,191310,31.277,44.028,none,15.897,25.015,1402
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,none,none,948,0.923,2.363,none,2.165,1.597,0
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,none,none,5178,none,3.190,none,2.282,0.453,133
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,6,18,3.00,none,none,9028,2.244,13.712,none,11.845,10.013,26
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,2,4,2.00,none,none,2115,0.066,6.917,none,6.323,5.352,6
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,260,2244,8.63,none,none,415412,13.778,58.742,none,23.800,28.282,1665
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,262,2248,8.58,none,none,230946,32.787,54.904,none,19.681,33.366,1653
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,none,none,5178,none,3.398,none,2.348,0.499,133
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,5,22,4.40,none,none,7609,3.048,4.862,none,1.387,1.904,24
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,3,11,3.67,none,none,4305,1.717,3.498,none,0.965,1.285,14
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,3,11,3.67,none,none,4305,1.813,3.216,none,0.995,1.077,14
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,3,11,3.67,none,none,4305,1.930,3.521,none,0.977,1.219,14
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,none,none,2781,1.369,2.240,none,0.818,0.587,10
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,2,5,2.50,none,none,1873,1.023,1.961,none,0.778,0.543,7
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,2,5,2.50,none,none,1877,0.980,1.965,none,0.718,0.537,7
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,2,5,2.50,none,none,1873,1.028,1.950,none,0.758,0.537,7
