FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,1733,184328,106.36,10255,0,89016,117.454,778.023,770.301,4.751,0.360,12081
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,36,355,9.86,4,1,1103,1.661,0.926,0.076,0.611,0.096,123
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,12,171,14.25,2,0,547,4.078,1.479,0.016,0.981,0.032,55
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,42,735,17.50,16,8,1676,1.893,1.313,0.267,0.640,0.129,179
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,2,22,11.00,2,2,288,0.644,0.533,0.011,0.284,0.000,41
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,190,2184,11.49,153,94,8876,3.217,9.810,6.187,2.307,0.532,875
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,319,14845,46.54,452,296,15931,9.601,10.390,5.082,3.513,0.974,1835
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,533,24248,45.49,1651,554,30727,17.153,28.581,18.845,6.450,0.916,5053
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,230,5401,23.48,718,160,9527,13.591,20.195,14.393,4.043,0.287,1161
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,21,277,13.19,25,23,4556,0.890,2.661,0.280,1.605,0.052,542
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,33,5.50,21,0,2407,3.673,4.653,3.135,0.836,0.166,14
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,25,5.00,15,0,2026,2.211,3.275,1.944,0.814,0.101,12
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,25,5.00,15,0,2026,2.505,3.174,1.833,0.787,0.108,12
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,25,5.00,15,0,2026,2.741,3.338,1.976,0.784,0.110,12
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,12,4.00,6,0,1334,1.420,2.135,1.002,0.585,0.062,9
