FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,2175,296685,136.41,1497,0,107349,313.802,583.086,574.301,5.807,0.761,14412
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,36,355,9.86,4,1,1103,1.470,0.922,0.078,0.494,0.095,123
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,12,171,14.25,2,0,547,5.079,1.671,0.006,1.140,0.012,55
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,42,735,17.50,16,8,1676,1.880,1.255,0.235,0.598,0.156,179
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,2,22,11.00,2,2,288,0.681,0.519,0.006,0.431,0.002,41
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,199,2313,11.62,150,91,9056,3.532,10.606,6.980,2.343,0.568,887
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,327,15351,46.94,444,291,16027,9.525,9.924,4.733,3.470,1.105,1859
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,566,26423,46.68,1076,542,32868,18.982,27.241,16.769,7.111,0.898,5428
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,245,5794,23.65,409,142,10034,15.382,22.864,16.811,4.165,0.249,1196
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,21,277,13.19,25,23,4556,0.852,3.095,0.303,1.578,0.054,542
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,33,5.50,18,0,2407,3.737,4.804,3.256,0.878,0.164,14
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,25,5.00,14,0,2026,2.224,3.171,1.836,0.800,0.097,12
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,25,5.00,14,0,2026,2.669,3.178,1.810,0.894,0.090,12
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,25,5.00,14,0,2026,2.678,3.468,2.086,0.816,0.121,12
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,12,4.00,6,0,1334,1.406,2.261,1.041,0.618,0.060,9
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,12,4.00,6,0,1323,1.208,2.153,1.016,0.718,0.045,9
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,12,4.00,6,0,1326,1.242,2.197,0.968,0.595,0.059,9
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,12,4.00,6,0,1323,1.206,2.122,0.958,0.759,0.064,9
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,25,5.00,14,0,2438,5.371,5.150,3.613,0.917,0.219,13
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,25,5.00,14,0,2328,3.170,4.588,2.912,1.011,0.145,13
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,63,7.00,30,0,3860,26.776,26.975,24.429,1.230,4.323,21
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,25,5.00,14,0,2328,4.410,4.605,3.120,1.003,0.248,13
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,63,7.00,30,0,3771,24.182,21.235,18.754,1.234,4.062,21
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,18,4.50,10,0,1917,1.993,2.824,1.428,0.867,0.122,11
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,25,5.00,14,0,2279,5.243,5.383,3.815,0.912,0.321,13
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,25,5.00,14,0,2334,3.931,4.100,2.603,0.929,0.158,13
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,25,5.00,14,0,2332,6.749,6.621,4.954,1.009,0.360,13
sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,9,63,7.00,30,0,3949,26.766,23.367,20.971,1.338,3.276,21
sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,5,25,5.00,14,0,2385,5.967,5.862,4.224,0.936,0.329,13
sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,15,150,10.00,51,1,5418,73.603,113.635,110.550,1.389,7.264,32
sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,15,150,10.00,51,1,5355,45.315,68.276,65.401,1.499,4.857,32
sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,15,150,10.00,51,1,5355,70.385,68.651,65.177,1.418,19.017,32
sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,15,150,10.00,51,1,5355,99.874,85.529,82.045,1.380,19.241,32
sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,19,228,12.00,70,0,7692,461.116,437.060,431.156,1.810,94.673,41
sv-comp/ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c,19,228,12.00,69,0,7490,534.200,363.900,355.373,1.690,219.232,41
sv-comp/ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c,16,168,10.50,58,0,7417,865.928,32.068,28.566,1.842,719.993,35
sv-comp/ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c,16,168,10.50,58,0,6849,623.011,275.551,269.340,1.724,373.801,35
sv-comp/ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c,18,207,11.50,66,0,7589,640.559,257.584,251.706,1.988,397.351,39
sv-comp/ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c,16,168,10.50,58,0,6849,669.286,228.932,222.730,1.515,343.267,35
sv-comp/ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c,16,168,10.50,58,0,6615,703.125,195.716,189.929,1.606,433.226,35
sv-comp/ssh/s3_srvr.blast.11_true-unreach-call.i.cil.c,15,150,10.00,54,0,6438,683.911,216.278,210.127,1.622,429.972,33
sv-comp/ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c,18,207,11.50,66,0,7809,551.360,346.707,340.631,1.765,232.752,39
sv-comp/ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c,16,168,10.50,58,0,6866,639.376,258.887,249.840,1.697,385.211,35
sv-comp/ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c,14,133,9.50,50,0,6247,881.044,17.128,13.965,1.707,809.995,31
