FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,2438,330463,135.55,1492,0,164876,321.458,575.578,562.778,8.760,0.464,22975
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,38,286,7.53,3,1,1157,1.449,1.023,0.021,0.794,0.104,130
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,45,483,10.73,4,3,2122,6.477,3.019,0.436,1.660,0.042,242
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,58,1005,17.33,15,9,2124,2.163,1.494,0.236,0.791,0.269,224
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,13,88,6.77,0,none,868,0.889,1.043,0.006,0.642,0.001,120
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,203,2359,11.62,201,107,7485,3.727,8.761,5.535,1.950,0.597,852
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,167,4759,28.50,193,133,8390,4.631,6.321,3.077,2.091,0.778,1002
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,397,16909,42.59,836,473,22720,13.890,24.544,15.728,5.682,0.780,3206
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,227,4084,17.99,226,112,10176,14.939,13.136,6.605,4.583,0.226,1213
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,17,124,7.29,0,none,1153,0.626,1.521,0.009,0.837,0.031,156
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,33,5.50,18,0,2408,3.769,4.822,3.298,0.827,0.162,14
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,25,5.00,14,0,2027,2.288,3.337,1.939,0.722,0.098,12
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,25,5.00,14,0,2027,2.646,3.210,1.815,0.845,0.124,12
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,25,5.00,14,0,2027,2.588,3.451,2.090,0.795,0.090,12
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,12,4.00,6,0,1335,1.419,2.209,0.957,0.844,0.058,9
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,12,4.00,6,0,1324,1.266,2.087,0.938,0.727,0.077,9
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,12,4.00,6,0,1327,1.283,2.137,0.976,0.741,0.109,9
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,12,4.00,6,0,1324,1.220,2.097,0.953,0.724,0.098,9
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,25,5.00,14,0,2439,5.244,5.328,3.678,0.922,0.249,13
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,25,5.00,14,0,2329,3.185,4.106,2.638,0.819,0.163,13
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,63,7.00,30,0,3861,27.526,28.468,25.968,1.364,4.351,21
