FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,none,none,none,none,none,none,none,none,none,none,none,none
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,69,548,7.94,none,none,20430,1.431,4.463,none,1.523,0.349,2781
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,175,1991,11.38,none,none,37915,10.656,10.235,none,3.270,1.717,4660
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,91,1619,17.79,none,none,35456,2.542,6.686,none,1.997,0.473,3633
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,12,99,8.25,none,none,3617,0.793,2.047,none,1.100,0.026,571
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,784,9408,12.00,none,none,491756,10.300,37.143,none,9.743,3.473,69096
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,217,6321,29.13,none,none,162625,4.720,19.935,none,5.149,1.588,22468
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,3849,109116,28.35,none,none,893141,36.104,42.125,none,13.449,4.063,119467
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,2065,31154,15.09,none,none,440644,46.413,30.996,none,8.393,6.706,54635
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,18,153,8.50,none,none,5318,0.643,2.222,none,1.042,0.034,786
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,5,27,5.40,none,none,7857,3.510,4.996,none,1.410,1.785,45
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,3,14,4.67,none,none,4462,1.983,3.302,none,1.036,1.028,26
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,3,14,4.67,none,none,4462,1.752,3.465,none,1.048,1.163,26
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,3,14,4.67,none,none,4462,2.018,3.603,none,1.055,1.173,26
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,12,4.00,none,none,2850,1.524,2.284,none,0.795,0.601,18
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,2,7,3.50,none,none,1924,0.985,1.948,none,0.735,0.506,13
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,2,7,3.50,none,none,1928,1.082,2.029,none,0.782,0.512,13
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,2,7,3.50,none,none,1924,1.074,1.984,none,0.716,0.548,13
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,4,18,4.50,none,none,5853,4.222,3.921,none,1.234,1.217,35
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,25,5.00,none,none,7624,4.087,4.762,none,1.394,1.690,40
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,6,35,5.83,none,none,11834,14.520,12.363,none,1.878,5.722,71
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,4,19,4.75,none,none,6161,3.687,4.199,none,1.333,1.446,33
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,6,35,5.83,none,none,11544,14.548,13.012,none,1.978,6.404,71
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,3,12,4.00,none,none,3843,1.769,2.900,none,0.979,0.885,20
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,3,12,4.00,none,none,4007,2.861,3.019,none,1.025,0.771,26
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,4,19,4.75,none,none,6178,3.004,4.603,none,1.252,1.983,33
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,4,18,4.50,none,none,5575,3.673,4.554,none,1.174,1.974,35
sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,6,35,5.83,none,none,12124,13.843,9.600,none,2.044,4.151,71
sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,4,18,4.50,none,none,5714,4.208,3.749,none,1.221,1.029,35
sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,6,48,8.00,none,none,17571,14.576,83.999,none,2.622,49.946,102
sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,7,65,9.29,none,none,21837,46.807,30.572,none,2.823,15.149,128
sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,6,45,7.50,none,none,16293,9.618,13.621,none,2.321,7.649,96
sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,5,34,6.80,none,none,12514,6.917,9.899,none,1.940,4.644,74
sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,6,52,8.67,none,none,33678,35.843,42.915,none,3.645,24.795,183
sv-comp/ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c,5,32,6.40,none,none,11626,8.469,13.652,none,1.911,7.367,70
sv-comp/ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c,5,64,12.80,none,none,30167,153.773,83.257,none,3.768,50.437,142
sv-comp/ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c,9,65,7.22,none,none,37949,21.780,72.276,none,3.741,44.566,194
sv-comp/ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c,7,97,13.86,none,none,52524,168.166,162.618,none,4.394,80.702,270
sv-comp/ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c,7,48,6.86,none,none,32938,19.059,46.763,none,3.870,30.637,168
sv-comp/ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c,4,29,7.25,none,none,11511,11.789,10.171,none,1.793,5.638,65
sv-comp/ssh/s3_srvr.blast.11_true-unreach-call.i.cil.c,8,58,7.25,none,none,36076,21.130,138.720,none,4.275,85.823,185
sv-comp/ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c,5,43,8.60,none,none,18563,37.795,50.571,none,2.515,40.903,96
sv-comp/ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c,6,35,5.83,none,none,28231,6.047,36.569,none,3.665,27.104,143
sv-comp/ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c,6,59,9.83,none,none,26038,67.672,73.709,none,2.918,57.882,129
sv-comp/ssh/s3_srvr.blast.15_true-unreach-call.i.cil.c,4,43,10.75,none,none,34268,40.369,42.452,none,4.061,24.043,171
sv-comp/ssh/s3_srvr.blast.16_true-unreach-call.i.cil.c,5,57,11.40,none,none,22474,84.983,813.249,none,3.102,459.160,109
