FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,1918,200398,104.48,9904,0,130101,123.023,772.553,761.659,7.532,0.214,18165
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,38,286,7.53,3,1,1157,1.308,0.952,0.064,0.603,0.057,130
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,45,483,10.73,4,3,2122,5.931,2.964,0.481,1.730,0.040,242
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,58,1005,17.33,15,9,2124,2.008,1.514,0.196,0.943,0.171,224
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,13,88,6.77,0,none,868,0.917,0.959,0.011,0.642,0.004,120
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,197,2281,11.58,219,113,7365,3.730,8.504,5.430,1.984,0.578,844
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,167,4759,28.50,193,133,8390,4.377,6.054,2.741,2.188,0.626,1002
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,241,8938,37.09,705,230,13565,9.136,17.573,11.489,3.764,0.329,1876
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,207,3676,17.76,256,118,9662,13.551,13.709,6.851,4.775,0.347,1177
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,17,124,7.29,0,none,1153,0.626,1.271,0.013,0.815,0.003,156
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,33,5.50,21,0,2408,3.652,4.590,3.001,0.990,0.147,14
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,25,5.00,15,0,2027,2.468,3.447,2.100,0.795,0.100,12
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,25,5.00,15,0,2027,2.617,3.103,1.723,0.738,0.077,12
