FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,459,18115,39.47,1885,0,475271,717.943,177.482,23.756,144.076,127.746,1256
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,1,2,2.00,1,1,1945,0.320,4.538,0.012,4.135,3.251,2
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,103,975,9.47,372,84,27234,115.099,26.482,7.209,16.215,10.011,144
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,0,none,948,0.670,2.069,0.028,1.778,1.353,0
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,0,none,5178,none,3.288,0.005,2.257,0.479,133
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,16,50,3.13,15,5,5524,5.297,12.406,0.345,11.065,9.232,10
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,2,4,2.00,2,2,1986,0.054,5.770,0.031,5.368,4.444,2
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,40,105,2.63,36,33,19333,4.375,31.051,11.027,15.303,11.474,59
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,125,1155,9.24,359,71,28075,120.319,28.184,5.898,19.365,13.243,144
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,0,none,5178,none,3.211,0.011,2.172,0.441,133
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,27,4.50,21,0,2341,3.295,5.066,3.614,0.928,0.198,7
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,20,4.00,15,0,1966,2.727,3.249,1.930,0.809,0.160,6
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,20,4.00,15,0,1966,2.264,3.292,1.965,0.794,0.108,6
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,20,4.00,15,0,1966,2.375,3.412,2.070,0.772,0.079,6
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,6,0,1299,1.393,2.147,1.031,0.780,0.093,4
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,9,3.00,6,0,1285,1.189,2.036,1.102,0.597,0.094,4
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,9,3.00,6,0,1288,1.244,2.060,1.051,0.634,0.077,4
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,9,3.00,6,0,1285,1.203,2.039,1.102,0.561,0.054,4
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,20,4.00,15,0,2376,5.460,5.866,4.283,0.909,0.294,6
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,20,4.00,15,0,2266,3.528,4.119,2.638,0.871,0.164,6
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,54,6.00,45,0,3750,23.236,24.722,22.519,1.145,2.337,10
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,20,4.00,15,0,2266,3.529,4.531,2.999,0.996,0.175,6
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,54,6.00,45,0,3661,22.623,24.877,22.641,1.239,2.110,10
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,14,3.50,10,0,1867,1.958,2.956,1.588,0.775,0.130,5
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,20,4.00,15,0,2217,5.659,5.646,4.237,0.853,0.285,6
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,20,4.00,15,0,2272,3.266,4.496,2.969,1.035,0.169,6
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,20,4.00,15,0,2270,5.277,5.608,4.022,0.902,0.261,6
sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,9,54,6.00,45,0,3839,22.576,23.119,20.867,1.215,2.769,10
sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,5,20,4.00,15,0,2323,5.611,6.150,4.573,0.953,0.255,6
sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,15,135,9.00,105,0,5245,45.582,62.167,59.450,1.487,4.674,15
sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,14,119,8.50,91,0,4806,34.681,37.212,34.663,1.312,4.211,14
sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,15,135,9.00,106,1,5369,60.667,115.536,112.413,1.482,9.032,16
sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,15,135,9.00,106,1,5369,50.417,72.309,69.435,1.421,6.871,16
sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,19,209,11.00,175,0,7383,248.554,649.600,645.124,1.599,45.608,20
sv-comp/ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c,18,189,10.50,171,0,6985,417.405,480.707,475.331,1.661,95.268,19
sv-comp/ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c,24,324,13.50,277,0,10575,521.160,376.857,369.898,1.780,106.612,25
sv-comp/ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c,17,170,10.00,153,0,7054,390.289,507.853,502.346,1.640,130.008,18
sv-comp/ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c,19,209,11.00,190,0,7770,336.053,562.337,557.980,1.736,136.447,20
sv-comp/ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c,10,65,6.50,55,0,4261,873.981,24.208,21.800,1.380,830.842,11
sv-comp/ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c,13,104,8.00,91,0,5251,575.205,322.993,320.133,1.490,503.846,14
sv-comp/ssh/s3_srvr.blast.11_true-unreach-call.i.cil.c,17,170,10.00,138,0,6822,513.930,384.208,378.938,1.656,249.678,18
sv-comp/ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c,18,189,10.50,171,0,7591,582.024,316.161,310.574,1.782,215.258,19
sv-comp/ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c,17,170,10.00,141,0,6839,420.771,477.334,470.525,1.582,200.394,18
sv-comp/ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c,19,209,11.00,190,0,8182,386.239,512.701,507.430,1.764,130.009,20
sv-comp/ssh/s3_srvr.blast.15_true-unreach-call.i.cil.c,21,252,12.00,214,0,8607,335.818,562.293,556.701,1.855,117.681,22
sv-comp/ssh/s3_srvr.blast.16_true-unreach-call.i.cil.c,21,252,12.00,231,0,9221,467.247,430.789,425.166,1.695,99.669,22
