FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,454,17728,39.05,502,0,470317,731.725,163.521,7.081,146.983,130.467,1245
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,1,2,2.00,1,1,1945,0.317,4.266,0.014,3.904,3.074,2
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,105,1014,9.66,138,70,28073,119.521,26.888,6.948,16.900,10.119,150
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,0,none,948,0.697,2.015,0.003,1.764,1.202,0
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,0,none,5178,none,3.189,0.017,2.317,0.496,133
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,16,50,3.13,15,5,5524,5.439,13.122,0.308,11.694,9.908,10
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,2,4,2.00,2,2,1986,0.055,6.069,0.037,5.579,4.713,2
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,40,105,2.63,36,33,19333,5.333,32.675,11.047,16.106,12.022,59
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,127,1194,9.40,125,57,28916,124.598,29.176,5.210,20.882,14.620,150
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,0,none,5178,none,3.495,0.055,2.411,0.542,133
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,27,4.50,18,0,2341,3.188,4.719,3.261,0.885,0.199,7
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,20,4.00,14,0,1966,2.421,3.340,2.089,0.751,0.104,6
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,20,4.00,14,0,1966,2.357,3.365,2.026,0.805,0.103,6
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,20,4.00,14,0,1966,2.604,3.547,2.172,0.911,0.091,6
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,6,0,1299,1.361,2.187,1.060,0.648,0.058,4
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,9,3.00,6,0,1285,1.244,2.009,0.957,0.648,0.074,4
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,9,3.00,6,0,1288,1.229,2.043,0.994,0.691,0.081,4
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,9,3.00,6,0,1285,1.190,2.056,1.130,0.572,0.077,4
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,20,4.00,14,0,2376,5.742,5.804,4.415,0.738,0.277,6
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,20,4.00,14,0,2266,3.264,4.256,2.643,0.959,0.168,6
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,54,6.00,30,0,3750,22.519,24.549,22.305,1.233,1.864,10
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,20,4.00,14,0,2266,3.093,4.391,2.931,0.946,0.153,6
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,54,6.00,30,0,3661,26.641,23.732,21.571,1.211,2.008,10
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,14,3.50,10,0,1867,1.945,2.934,1.581,0.765,0.124,5
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,20,4.00,14,0,2217,5.607,5.697,4.269,0.894,0.288,6
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,20,4.00,14,0,2272,3.371,4.418,2.883,0.910,0.218,6
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,20,4.00,14,0,2270,4.881,5.566,4.107,0.909,0.241,6
sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,9,54,6.00,30,0,3839,25.782,22.948,20.736,1.144,2.793,10
sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,5,20,4.00,14,0,2323,5.864,6.057,4.493,0.923,0.254,6
sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,15,135,9.00,51,1,5432,76.080,104.570,101.569,1.359,9.774,16
sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,15,135,9.00,50,0,5174,39.896,44.324,41.720,1.196,4.479,15
sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,15,135,9.00,51,1,5369,65.420,118.086,115.204,1.357,8.584,16
sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,15,135,9.00,51,1,5174,526.197,372.084,369.202,1.489,619.782,16
sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,20,230,11.50,72,0,7770,416.271,481.916,476.301,1.685,93.926,21
sv-comp/ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c,19,209,11.00,70,0,7365,580.318,317.864,310.919,1.728,185.855,20
sv-comp/ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c,21,252,12.00,74,0,9258,807.065,91.019,39.013,1.871,552.618,22
sv-comp/ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c,17,170,10.00,62,0,7054,644.268,254.134,247.007,1.726,347.680,18
sv-comp/ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c,18,189,10.50,66,0,7371,543.278,354.901,349.429,1.901,291.903,19
sv-comp/ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c,17,170,10.00,62,0,7054,627.687,270.429,264.688,1.923,363.004,18
sv-comp/ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c,19,209,11.00,70,0,7591,450.038,448.337,442.516,1.859,161.187,20
sv-comp/ssh/s3_srvr.blast.11_true-unreach-call.i.cil.c,16,152,9.50,58,0,6655,623.341,274.783,269.722,1.771,378.162,17
sv-comp/ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c,19,209,11.00,70,0,8003,499.222,402.197,396.129,1.745,141.133,20
sv-comp/ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c,14,119,8.50,50,0,5872,791.665,106.511,102.340,1.748,654.627,15
sv-comp/ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c,20,230,11.50,74,0,8603,548.330,349.912,330.431,1.810,219.686,21
sv-comp/ssh/s3_srvr.blast.15_true-unreach-call.i.cil.c,20,230,11.50,74,0,8357,495.715,402.480,396.421,1.897,233.449,21
sv-comp/ssh/s3_srvr.blast.16_true-unreach-call.i.cil.c,16,152,9.50,58,0,7071,874.421,23.859,20.713,1.702,769.446,17
