FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,117,6592,56.34,none,none,1814983,584.914,311.004,none,261.602,252.879,11196
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,0,0,0.00,none,none,1866,1.653,5.365,none,4.923,3.941,1
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,0,0,0.00,none,none,1877,6.633,17.205,none,16.049,14.102,6
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,none,none,948,0.666,2.056,none,1.819,1.304,0
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,none,none,828,none,1.741,none,1.325,0.420,9
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,6,18,3.00,none,none,8811,2.390,15.203,none,13.304,11.289,25
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,2,4,2.00,none,none,2115,0.070,6.284,none,5.750,4.726,6
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,30,77,2.57,none,none,50719,3.184,43.743,none,24.218,27.101,161
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,177,1329,7.51,none,none,203821,20.793,58.425,none,23.810,39.369,1244
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,none,none,828,none,1.724,none,1.353,0.456,9
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,5,22,4.40,none,none,7825,2.963,5.143,none,1.369,2.160,24
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,3,11,3.67,none,none,4435,1.845,3.619,none,1.095,1.238,14
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,3,11,3.67,none,none,4435,1.735,3.272,none,0.984,1.041,14
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,3,11,3.67,none,none,4435,2.074,3.403,none,1.015,1.206,14
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,none,none,2856,1.428,2.315,none,0.738,0.606,10
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,2,5,2.50,none,none,1928,1.071,1.932,none,0.751,0.493,7
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,2,5,2.50,none,none,1932,0.968,2.068,none,0.744,0.631,7
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,2,5,2.50,none,none,1928,1.028,1.997,none,0.775,0.535,7
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,4,14,3.50,none,none,5759,4.303,3.647,none,1.193,0.985,16
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,4,15,3.75,none,none,6138,2.913,4.367,none,1.237,1.670,17
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,5,21,4.20,none,none,9089,11.999,9.334,none,1.786,4.736,26
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,4,15,3.75,none,none,6138,2.915,4.200,none,1.315,1.456,17
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,5,22,4.40,none,none,9260,11.481,8.751,none,1.732,3.829,27
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,3,10,3.33,none,none,4261,1.821,3.135,none,1.149,0.929,12
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,4,14,3.50,none,none,5342,3.324,5.002,none,1.187,2.288,16
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,3,11,3.67,none,none,5097,3.256,4.043,none,1.332,1.517,14
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,4,14,3.50,none,none,5481,3.366,4.064,none,1.183,1.475,16
sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,4,16,4.00,none,none,7910,8.133,11.246,none,1.699,7.192,22
sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,4,14,3.50,none,none,5620,3.745,3.922,none,1.211,1.265,16
sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,6,43,7.17,none,none,17878,26.441,33.533,none,2.423,16.382,53
sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,6,42,7.00,none,none,17252,11.521,20.564,none,2.179,13.741,52
sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,5,30,6.00,none,none,13499,6.934,16.126,none,2.205,10.177,41
sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,6,43,7.17,none,none,17606,13.363,19.386,none,2.394,10.952,53
sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,5,34,6.80,none,none,29582,19.670,33.179,none,3.465,20.409,79
