FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,none,none,none,none,none,none,none,none,none,none,none,none
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,0,0,0.00,none,none,1866,1.390,5.128,none,4.788,3.864,1
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,0,0,0.00,none,none,1877,5.424,20.002,none,18.754,16.751,6
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,0,0,0.00,none,none,948,0.673,2.019,none,1.797,1.226,0
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,none,0,0.00,none,none,828,none,1.724,none,1.219,0.477,9
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,16,50,3.13,none,none,5524,4.961,13.076,none,12.070,10.324,10
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,4,10,2.50,none,none,2079,0.074,6.225,none,5.786,4.867,3
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,358,3647,10.19,none,none,162908,181.026,52.337,none,33.148,24.459,420
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,238,2230,9.37,none,none,65121,159.975,33.213,none,28.723,20.542,293
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,none,0,0.00,none,none,828,none,1.702,none,1.305,0.601,9
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,27,4.50,none,none,2413,3.947,1.638,none,0.963,0.438,7
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.266,1.305,none,0.742,0.159,6
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.102,1.333,none,0.780,0.151,6
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,20,4.00,none,none,2031,3.229,1.317,none,0.806,0.112,6
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,9,3.00,none,none,1338,1.690,1.172,none,0.769,0.100,4
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,9,3.00,none,none,1327,1.495,1.119,none,0.625,0.069,4
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,9,3.00,none,none,1330,1.558,1.093,none,0.666,0.076,4
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,9,3.00,none,none,1327,1.575,1.108,none,0.668,0.081,4
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,20,4.00,none,none,2444,6.202,1.584,none,0.969,0.451,6
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,20,4.00,none,none,2334,3.728,1.554,none,0.961,0.224,6
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,54,6.00,none,none,3870,28.098,2.307,none,1.400,2.861,10
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,20,4.00,none,none,2334,3.772,1.664,none,1.068,0.232,6
