FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,3045,525048,172.43,none,none,205536,885.102,14.342,none,9.733,0.720,28599
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,38,286,7.53,none,none,1225,1.400,0.967,none,0.606,0.064,136
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,45,483,10.73,none,none,2537,5.957,2.554,none,1.776,0.019,275
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,66,1153,17.47,none,none,2772,2.364,1.611,none,0.834,0.145,278
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,13,88,6.77,none,none,868,0.886,1.384,none,1.066,0.002,120
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,445,7034,15.81,none,none,14865,14.708,4.971,none,3.046,0.820,1497
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,1359,73950,54.42,none,none,48783,22.829,8.281,none,5.446,1.589,5882
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,3503,201750,57.59,none,none,328643,51.794,28.275,none,17.744,0.581,53646
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,684,24946,36.47,none,none,48255,39.074,14.804,none,11.277,0.499,5915
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,17,124,7.29,none,none,1153,0.622,1.232,none,0.863,0.001,156
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,33,5.50,none,none,2408,4.360,1.493,none,0.831,0.240,14
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,25,5.00,none,none,2027,2.912,1.366,none,0.777,0.098,12
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,25,5.00,none,none,2027,3.308,1.268,none,0.721,0.126,12
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,25,5.00,none,none,2027,2.737,1.358,none,0.771,0.167,12
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,12,4.00,none,none,1335,1.777,1.179,none,0.734,0.077,9
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,12,4.00,none,none,1324,1.526,1.174,none,0.777,0.075,9
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,12,4.00,none,none,1327,1.646,1.126,none,0.653,0.078,9
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,12,4.00,none,none,1324,1.577,1.173,none,0.757,0.089,9
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,25,5.00,none,none,2439,6.212,1.650,none,0.888,0.325,13
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,25,5.00,none,none,2329,4.108,1.667,none,1.101,0.244,13
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,63,7.00,none,none,3861,26.500,2.473,none,1.216,3.617,21
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,25,5.00,none,none,2329,4.531,1.552,none,0.948,0.211,13
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,63,7.00,none,none,3772,31.663,2.585,none,1.178,5.741,21
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,18,4.50,none,none,1918,2.616,1.483,none,0.810,0.151,11
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,25,5.00,none,none,2280,6.400,1.666,none,0.796,0.370,13
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,25,5.00,none,none,2335,4.541,1.480,none,0.919,0.268,13
