FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,445,53539,120.31,none,none,138352,90.479,805.318,none,6.660,602.452,32201
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,149,5056,33.93,none,none,117174,4.237,14.522,none,4.161,0.821,16845
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,167,3002,17.98,none,none,100194,11.837,18.936,none,6.082,3.437,13179
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,56,1053,18.80,none,none,22211,1.976,5.187,none,1.722,0.332,2429
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,2,15,7.50,none,none,1833,0.138,1.960,none,1.357,0.048,269
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,1042,13511,12.97,none,none,565304,12.428,39.621,none,11.574,2.657,65956
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,200,6927,34.63,none,none,207896,5.224,24.033,none,6.771,1.383,29644
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,1211,59014,48.73,none,none,935927,24.476,57.617,none,17.853,5.982,161390
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,512,10338,20.19,none,none,267830,32.957,27.772,none,7.355,6.155,35915
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,2,15,7.50,none,none,1841,0.160,1.724,none,1.087,0.017,269
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,5,27,5.40,none,none,7853,3.525,4.947,none,1.462,1.761,45
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,3,14,4.67,none,none,4460,2.061,3.260,none,1.053,1.019,26
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,3,14,4.67,none,none,4460,1.896,3.444,none,1.059,1.217,26
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,3,14,4.67,none,none,4460,2.044,3.505,none,0.952,1.153,26
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,12,4.00,none,none,2849,1.414,2.246,none,0.843,0.607,18
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,2,7,3.50,none,none,1923,0.999,1.960,none,0.755,0.463,13
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,2,7,3.50,none,none,1927,1.071,2.052,none,0.811,0.515,13
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,2,7,3.50,none,none,1923,1.174,2.025,none,0.741,0.553,13
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,4,18,4.50,none,none,5849,4.122,3.913,none,1.202,1.335,35
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,25,5.00,none,none,7622,4.069,4.809,none,1.504,1.783,40
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,6,35,5.83,none,none,11828,15.920,11.986,none,1.948,5.365,71
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,4,19,4.75,none,none,6159,3.887,4.214,none,1.295,1.491,33
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,6,35,5.83,none,none,11538,14.345,13.557,none,1.966,6.589,71
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,3,12,4.00,none,none,3842,1.752,2.848,none,0.971,0.915,20
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,3,12,4.00,none,none,4004,2.885,3.146,none,1.095,0.870,26
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,4,19,4.75,none,none,6176,2.953,4.620,none,1.318,1.997,33
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,4,18,4.50,none,none,5571,3.428,4.447,none,1.158,1.648,35
sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,6,35,5.83,none,none,12118,13.900,9.500,none,1.825,4.322,71
sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,4,18,4.50,none,none,5710,4.492,3.768,none,1.204,1.176,35
sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,6,48,8.00,none,none,17567,15.127,86.510,none,2.561,51.902,102
sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,7,65,9.29,none,none,21832,48.313,32.424,none,2.712,16.265,128
sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,6,45,7.50,none,none,16289,8.034,13.537,none,2.340,7.580,96
sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,5,34,6.80,none,none,12511,6.970,9.875,none,2.067,4.660,74
sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,6,52,8.67,none,none,33674,36.268,42.398,none,3.595,24.119,183
sv-comp/ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c,5,32,6.40,none,none,11623,7.585,13.617,none,1.951,7.421,70
sv-comp/ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c,5,64,12.80,none,none,30165,157.056,86.082,none,3.670,52.224,142
sv-comp/ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c,9,65,7.22,none,none,37945,21.963,72.228,none,3.716,45.438,194
