FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,3259,460911,141.43,1498,0,89677,355.335,541.921,535.027,4.756,0.764,13033
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,221,8899,40.27,382,254,10425,7.290,8.107,4.462,2.578,1.048,1204
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,205,5221,25.47,262,134,7532,17.701,13.374,8.123,3.758,0.160,952
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,49,854,17.43,13,6,1698,2.082,1.067,0.157,0.548,0.100,174
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,5,61,12.20,6205,1257,22325,0.443,895.721,890.645,2.987,0.003,3103
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,202,2522,12.49,252,164,8196,4.241,9.882,6.566,2.172,0.567,746
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,267,9983,37.39,580,380,10966,7.893,11.750,7.976,2.662,1.371,1276
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,463,20989,45.33,1170,558,22399,16.642,22.594,15.007,4.947,0.529,3453
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,369,11264,30.53,1063,383,13182,20.856,40.805,34.023,4.918,0.405,1636
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,5,61,12.20,6189,1254,22269,0.410,895.949,891.026,3.020,0.029,3095
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,33,5.50,18,0,2341,3.583,4.403,3.017,0.808,0.152,8
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,25,5.00,14,0,1966,2.338,3.095,1.836,0.800,0.103,7
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,25,5.00,14,0,1966,2.796,2.953,1.694,0.750,0.096,7
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,25,5.00,14,0,1966,2.671,3.278,2.084,0.757,0.093,7
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,12,4.00,6,0,1299,1.355,2.151,1.144,0.716,0.075,5
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,12,4.00,6,0,1285,1.224,1.961,0.974,0.702,0.069,5
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,12,4.00,6,0,1288,1.289,2.061,1.131,0.619,0.077,5
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,12,4.00,6,0,1285,1.223,2.000,0.928,0.706,0.065,5
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,25,5.00,14,0,2376,5.846,5.453,3.930,1.064,0.273,7
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,25,5.00,14,0,2266,3.430,4.181,2.795,0.882,0.198,7
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,63,7.00,30,0,3750,27.441,27.986,25.680,1.276,4.506,11
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,25,5.00,14,0,2266,3.855,4.650,3.146,0.985,0.227,7
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,63,7.00,30,0,3661,24.866,20.767,18.579,1.111,4.374,11
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,18,4.50,10,0,1867,2.151,2.618,1.407,0.800,0.099,6
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,25,5.00,14,0,2217,6.050,5.742,4.216,0.886,0.369,7
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,25,5.00,14,0,2272,3.906,4.177,2.616,1.014,0.187,7
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,25,5.00,14,0,2270,6.198,6.174,4.748,0.834,0.376,7
sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,9,63,7.00,30,0,3839,28.475,22.869,20.601,1.266,3.287,11
sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,5,25,5.00,14,0,2323,6.129,5.631,4.260,0.833,0.274,7
sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,15,150,10.00,51,1,5418,73.621,111.164,108.397,1.237,7.523,32
sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,15,150,10.00,51,1,5355,45.906,67.473,64.840,1.392,4.799,32
sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,15,150,10.00,51,1,5355,69.533,71.162,68.146,1.397,18.601,32
sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,15,150,10.00,51,1,5355,93.938,80.781,77.758,1.280,16.988,32
sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,19,228,12.00,70,0,7481,464.909,434.835,429.120,1.930,92.299,21
sv-comp/ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c,19,228,12.00,69,0,7260,539.223,359.079,351.478,1.654,216.799,21
sv-comp/ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c,16,168,10.50,58,0,7223,867.746,30.566,27.254,1.635,727.992,18
sv-comp/ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c,16,168,10.50,58,0,6655,622.677,276.608,270.637,1.653,378.497,18
sv-comp/ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c,18,207,11.50,66,0,7371,642.451,256.078,250.851,1.730,389.628,20
sv-comp/ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c,16,168,10.50,58,0,6655,671.583,227.082,220.700,1.714,335.290,18
sv-comp/ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c,16,168,10.50,58,0,6421,700.932,197.467,191.038,1.719,426.599,18
sv-comp/ssh/s3_srvr.blast.11_true-unreach-call.i.cil.c,15,150,10.00,54,0,6256,680.741,217.815,212.216,1.478,435.729,17
sv-comp/ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c,18,207,11.50,66,0,7591,553.026,345.234,339.634,1.671,230.567,20
sv-comp/ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c,16,168,10.50,58,0,6672,643.029,255.280,246.932,1.697,388.186,18
sv-comp/ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c,14,133,9.50,50,0,6077,880.419,17.865,14.929,1.567,807.930,16
sv-comp/ssh/s3_srvr.blast.15_true-unreach-call.i.cil.c,20,250,12.50,74,0,8357,528.171,371.769,365.556,2.074,239.556,22
sv-comp/ssh/s3_srvr.blast.16_true-unreach-call.i.cil.c,12,102,8.50,42,0,5351,881.524,16.819,14.118,1.417,835.723,14
