FileName,NoR,RLen,RLeninBlkAvg,AFC,SFC,ComS,TfR,TTfCPA,TfFC,TfTran,TfSMTwoitp,NoAbs
sv-comp/ntdrivers/cdaudio_false-unreach-call.i.cil.c,2533,277068,109.38,9912,0,70999,147.652,747.230,740.878,4.330,0.374,10393
sv-comp/ntdrivers/diskperf_false-unreach-call.i.cil.c,211,8239,39.05,377,247,10057,6.539,7.642,4.026,2.351,0.749,1168
sv-comp/ntdrivers/floppy_false-unreach-call.i.cil.c,198,5085,25.68,585,148,7229,16.838,13.006,8.097,3.557,0.172,936
sv-comp/ntdrivers/kbfiltr_false-unreach-call.i.cil.c,49,854,17.43,13,6,1698,1.989,1.225,0.213,0.673,0.091,174
sv-comp/ntdrivers/parport_false-unreach-call.i.cil.c,5,61,12.20,76434,410,10453,0.408,895.691,892.037,2.108,0.029,1407
sv-comp/ntdrivers/cdaudio_true-unreach-call.i.cil.c,181,2207,12.19,283,180,7813,3.620,10.264,7.029,1.951,0.437,721
sv-comp/ntdrivers/diskperf_true-unreach-call.i.cil.c,246,8767,35.64,592,366,10466,7.119,10.952,7.203,2.423,1.390,1207
sv-comp/ntdrivers/floppy2_true-unreach-call.i.cil.c,324,13412,41.40,979,351,15844,13.294,19.695,13.402,4.305,0.510,2447
sv-comp/ntdrivers/floppy_true-unreach-call.i.cil.c,310,8543,27.56,1359,326,10112,20.360,25.778,19.297,4.675,0.315,1266
sv-comp/ntdrivers/parport_true-unreach-call.i.cil.c,5,61,12.20,75219,407,10411,0.377,895.448,891.619,2.639,0.031,1401
sv-comp/ssh/s3_clnt.blast.01_false-unreach-call.i.cil.c,6,33,5.50,21,0,2341,3.747,4.819,3.384,0.807,0.200,8
sv-comp/ssh/s3_clnt.blast.02_false-unreach-call.i.cil.c,5,25,5.00,15,0,1966,2.499,3.217,1.992,0.789,0.093,7
sv-comp/ssh/s3_clnt.blast.03_false-unreach-call.i.cil.c,5,25,5.00,15,0,1966,2.598,3.097,1.926,0.726,0.087,7
sv-comp/ssh/s3_clnt.blast.04_false-unreach-call.i.cil.c,5,25,5.00,15,0,1966,2.494,3.344,2.108,0.800,0.089,7
sv-comp/ssh/s3_srvr.blast.01_false-unreach-call.i.cil.c,3,12,4.00,6,0,1299,1.392,2.216,1.038,0.775,0.068,5
sv-comp/ssh/s3_srvr.blast.02_false-unreach-call.i.cil.c,3,12,4.00,6,0,1285,1.223,2.004,0.928,0.607,0.078,5
sv-comp/ssh/s3_srvr.blast.03_false-unreach-call.i.cil.c,3,12,4.00,6,0,1288,1.312,1.984,0.945,0.770,0.067,5
sv-comp/ssh/s3_srvr.blast.04_false-unreach-call.i.cil.c,3,12,4.00,6,0,1285,1.209,1.947,0.903,0.767,0.078,5
sv-comp/ssh/s3_srvr.blast.06_false-unreach-call.i.cil.c,5,25,5.00,15,0,2376,5.603,5.182,3.664,0.997,0.253,7
sv-comp/ssh/s3_srvr.blast.07_false-unreach-call.i.cil.c,5,25,5.00,15,0,2266,3.311,4.166,2.642,0.924,0.166,7
sv-comp/ssh/s3_srvr.blast.08_false-unreach-call.i.cil.c,9,63,7.00,45,0,3750,29.510,30.448,28.196,1.048,4.343,11
sv-comp/ssh/s3_srvr.blast.09_false-unreach-call.i.cil.c,5,25,5.00,15,0,2266,4.350,4.584,3.009,0.908,0.182,7
sv-comp/ssh/s3_srvr.blast.10_false-unreach-call.i.cil.c,9,63,7.00,45,0,3661,25.224,30.361,28.053,1.203,3.966,11
sv-comp/ssh/s3_srvr.blast.11_false-unreach-call.i.cil.c,4,18,4.50,10,0,1867,2.028,2.770,1.443,0.873,0.099,6
sv-comp/ssh/s3_srvr.blast.12_false-unreach-call.i.cil.c,5,25,5.00,15,0,2217,5.586,5.493,4.095,0.833,0.295,7
sv-comp/ssh/s3_srvr.blast.13_false-unreach-call.i.cil.c,5,25,5.00,15,0,2272,3.968,4.304,2.750,1.063,0.211,7
sv-comp/ssh/s3_srvr.blast.14_false-unreach-call.i.cil.c,5,25,5.00,15,0,2270,6.163,6.265,4.690,1.074,0.416,7
sv-comp/ssh/s3_srvr.blast.15_false-unreach-call.i.cil.c,9,63,7.00,45,0,3839,32.884,25.418,23.077,1.317,4.971,11
sv-comp/ssh/s3_srvr.blast.16_false-unreach-call.i.cil.c,5,25,5.00,15,0,2323,5.640,6.009,4.385,0.984,0.370,7
sv-comp/ssh/s3_clnt.blast.01_true-unreach-call.i.cil.c,15,150,10.00,106,1,5418,57.104,123.481,120.659,1.420,6.360,32
sv-comp/ssh/s3_clnt.blast.02_true-unreach-call.i.cil.c,15,150,10.00,106,1,5355,50.783,77.489,74.677,1.397,9.867,32
sv-comp/ssh/s3_clnt.blast.03_true-unreach-call.i.cil.c,15,150,10.00,106,1,5355,62.005,80.864,77.886,1.459,8.680,32
sv-comp/ssh/s3_clnt.blast.04_true-unreach-call.i.cil.c,15,150,10.00,106,1,5355,62.942,86.823,83.887,1.441,10.104,32
sv-comp/ssh/s3_srvr.blast.01_true-unreach-call.i.cil.c,18,207,11.50,159,0,6996,322.683,575.531,571.289,1.330,51.085,20
sv-comp/ssh/s3_srvr.blast.02_true-unreach-call.i.cil.c,18,207,11.50,159,0,6880,323.227,574.801,569.829,1.627,76.220,20
sv-comp/ssh/s3_srvr.blast.06_true-unreach-call.i.cil.c,15,150,10.00,120,0,6784,855.519,42.609,39.552,1.507,736.418,17
sv-comp/ssh/s3_srvr.blast.07_true-unreach-call.i.cil.c,15,150,10.00,120,0,6256,435.785,463.329,458.374,1.792,244.352,17
sv-comp/ssh/s3_srvr.blast.08_true-unreach-call.i.cil.c,18,207,11.50,171,0,7371,287.684,611.238,605.920,1.683,106.185,20
sv-comp/ssh/s3_srvr.blast.09_true-unreach-call.i.cil.c,15,150,10.00,120,0,6256,500.519,397.631,392.372,1.440,280.090,17
sv-comp/ssh/s3_srvr.blast.10_true-unreach-call.i.cil.c,16,168,10.50,136,0,6421,466.421,431.674,426.818,1.678,292.199,18
sv-comp/ssh/s3_srvr.blast.11_true-unreach-call.i.cil.c,15,150,10.00,120,0,6256,467.063,431.858,425.976,1.608,261.569,17
sv-comp/ssh/s3_srvr.blast.12_true-unreach-call.i.cil.c,17,187,11.00,153,0,7179,472.038,430.174,423.585,1.684,145.117,19
sv-comp/ssh/s3_srvr.blast.13_true-unreach-call.i.cil.c,16,168,10.50,121,0,6439,485.449,412.707,407.344,1.573,285.655,18
sv-comp/ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c,20,250,12.50,193,0,8459,429.591,468.605,462.548,1.848,140.802,22
sv-comp/ssh/s3_srvr.blast.15_true-unreach-call.i.cil.c,20,250,12.50,210,0,8357,439.536,459.648,453.811,1.673,158.438,22
sv-comp/ssh/s3_srvr.blast.16_true-unreach-call.i.cil.c,19,228,12.00,190,0,8361,781.828,116.281,112.232,1.856,564.282,21
