NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
4018,187,70,30.17,0,,,161
1362,187,70,14.7,1,,,44
1135,187,70,13.28,1,,,37
1661,187,70,13.48,1,,,49
3871,187,70,30.11,0,,,157
1661,187,70,13.2,1,,,49
2042,187,70,16.89,1,,,71
2205,187,70,16.69,1,,,72
1977,187,70,15.78,1,,,71
1362,187,70,19.69,1,,,44
1964,187,70,18.88,1,,,68
1362,187,70,17.14,1,,,44
2205,187,70,17.25,1,,,72
1362,187,70,15.23,1,,,44
1964,187,70,17.43,1,,,68
1362,187,70,15.5,1,,,44
1135,187,70,12.1,1,,,37
2369,187,70,14.97,1,,,88
1371,187,70,14.04,1,,,65
2262,187,70,21.46,1,,,56
1362,187,70,14.98,1,,,44
1135,187,70,12.63,1,,,37
1838,187,70,15.38,1,,,62
2262,187,70,21.07,1,,,56
2369,187,70,15.2,1,,,88
1362,187,70,15.73,1,,,44
1371,187,70,14.26,1,,,65
1891,187,70,15.71,1,,,79
1964,187,70,17.08,1,,,68
1964,187,70,16.57,1,,,68
