NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
234,117,60,899.89,0,,,6
234,117,60,899.66,0,,,6
234,118,60,899.83,0,,,6
234,118,60,899.78,0,,,6
234,118,60,899.72,0,,,6
234,117,60,904.82,0,,,6
234,118,60,899.67,0,,,6
234,118,60,899.57,0,,,6
234,118,60,899.63,0,,,6
234,118,60,899.7,0,,,6
234,118,60,899.72,0,,,6
234,118,60,899.72,0,,,6
234,118,60,899.81,0,,,6
234,118,60,899.71,0,,,6
234,118,60,899.75,0,,,6
234,118,60,899.68,0,,,6
234,118,60,899.66,0,,,6
234,118,60,899.73,0,,,6
234,118,60,899.67,0,,,6
234,118,60,899.67,0,,,6
234,118,60,899.69,0,,,6
234,118,60,899.66,0,,,6
234,118,60,899.69,0,,,6
234,118,60,899.66,0,,,6
234,118,60,899.67,0,,,6
234,118,60,899.71,0,,,6
234,118,60,899.63,0,,,6
234,118,60,899.75,0,,,6
234,118,60,899.58,0,,,6
234,118,60,899.65,0,,,6
