NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
,1812,100,3.24,1,,,0
,1812,100,3.15,1,,,0
,1812,100,3.14,1,,,0
,1812,100,3.2,1,,,0
,1812,100,3.25,1,,,0
,1812,100,3.14,1,,,0
,1812,100,3.18,1,,,0
,1812,100,3.22,1,,,0
,1812,100,3.31,1,,,0
,1812,100,3.21,1,,,0
,1812,100,3.32,1,,,0
,1812,100,3.2,1,,,0
,1812,100,3.23,1,,,0
,1812,100,3.22,1,,,0
,1812,100,3.25,1,,,0
,1812,100,3.2,1,,,0
,1812,100,3.3,1,,,0
,1812,100,3.3,1,,,0
,1812,100,3.16,1,,,0
,1812,100,3.26,1,,,0
,1812,100,3.2,1,,,0
,1812,100,3.26,1,,,0
,1812,100,3.17,1,,,0
,1812,100,3.16,1,,,0
,1812,100,3.23,1,,,0
,1812,100,3.21,1,,,0
,1812,100,3.26,1,,,0
,1812,100,3.12,1,,,0
,1812,100,3.3,1,,,0
,1812,100,3.14,1,,,0
