NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
28,1393,1172,28.08,0,,,10,157657,26436,194.0,2,25443,184099,19.4,0.22,17,1.89,0.897,0.954,0.972,54245,382,12,3.361,202,22,0.0,235,39,1514
16,1353,1194,28.04,0,,,5,199764,32069,94.0,2,32130,233691,18.8,0.4,9,1.8,0.846,0.927,0.99,169002,133,10,4.149,202,25,0.0,3997,2301,1533
73,1040,1040,27.81,0,,,25,9290,296,494.0,2,756,10085,19.76,0.08,47,1.96,0.513,0.712,0.862,1278,52,27,3.078,202,25,0.03,235,74,1160
7,1225,930,27.58,0,,,2,318727,53157,34.0,2,51223,371913,17.0,1.0,3,1.5,0.744,0.839,0.771,19103,6,4,3.328,202,14,0.0,235,36,1223
70,1053,1040,27.36,0,,,24,10129,298,474.0,2,1303,10901,19.75,0.09,45,1.96,0.59,0.721,0.862,1390,53,28,3.186,202,43,0.03,235,72,1167
16,1416,1202,27.63,0,,,5,206009,33223,94.0,2,33489,240586,18.8,0.4,9,1.8,0.872,0.97,0.997,174742,201,10,3.685,202,26,0.0,3997,2253,1548
4,1159,908,27.45,0,,,1,283716,47243,14.0,2,45509,330988,14.0,2.0,1,1.0,0.641,0.794,0.753,3165,5,4,3.296,202,5,0.0,235,42,1125
73,1045,1046,27.66,0,,,25,10759,298,494.0,2,1459,11586,19.76,0.08,47,1.96,0.59,0.716,0.867,1225,54,29,2.84,202,40,0.02,235,76,1181
76,1031,1042,27.64,0,,,26,9650,296,516.0,2,800,10477,19.85,0.08,49,1.96,0.487,0.706,0.864,1289,54,28,2.588,202,26,0.02,235,73,1164
4,1425,1204,27.98,0,,,2,300224,50044,34.0,2,48215,350298,17.0,2.0,1,1.0,0.897,0.976,0.998,280383,32,4,3.542,202,14,0.0,235,43,1562
76,1031,1042,27.47,0,,,26,9650,296,516.0,2,800,10477,19.85,0.08,49,1.96,0.487,0.706,0.864,1289,54,28,2.687,202,38,0.04,235,73,1164
13,1358,1198,27.61,0,,,5,199362,32035,94.0,2,32039,233278,18.8,0.5,7,1.75,0.897,0.93,0.993,181485,88,9,3.549,202,25,0.0,3997,2303,1543
37,1373,1152,27.25,0,,,13,90294,14780,254.0,2,14200,105207,19.54,0.17,23,1.92,0.897,0.94,0.955,19934,28,15,3.439,202,25,0.0,235,35,1484
16,1421,1204,27.32,0,,,6,212587,33603,114.0,2,35232,248301,19.0,0.4,9,1.8,0.897,0.973,0.998,182078,222,10,3.744,202,26,0.0,3997,2209,1558
76,1031,1042,27.56,0,,,26,9650,296,516.0,2,800,10477,19.85,0.08,49,1.96,0.487,0.706,0.864,1289,54,28,2.823,202,26,0.02,235,73,1164
79,1051,1062,28.48,0,,,27,10040,302,540.0,2,846,10905,20.0,0.08,51,1.96,0.487,0.72,0.881,1318,60,31,3.093,202,38,0.03,235,72,1190
19,1393,1172,27.63,0,,,7,135756,22807,134.0,2,21895,158599,19.14,0.33,11,1.83,0.897,0.954,0.972,56420,166,9,3.86,202,18,0.0,235,38,1514
16,1407,1196,27.51,0,,,5,204041,32996,94.0,2,33083,238320,18.8,0.4,9,1.8,0.846,0.964,0.992,172704,133,10,3.814,202,26,0.0,3997,2270,1539
16,1420,1202,27.53,0,,,5,209844,33603,94.0,2,34447,244972,18.8,0.4,9,1.8,0.897,0.973,0.997,178748,222,10,4.22,202,26,0.0,3997,2224,1553
12,718,762,27.6,0,,,4,163402,27509,86.0,3,26636,191042,21.5,0.75,5,1.25,0.154,0.492,0.632,785,1115,69,8.029,205,142,0.0,235,38,785
79,1051,1062,27.8,0,,,27,10040,302,540.0,2,846,10905,20.0,0.08,51,1.96,0.487,0.72,0.881,1318,60,31,2.798,202,47,0.04,235,72,1190
82,1041,1042,28.04,0,,,28,11151,296,558.0,2,1273,12046,19.93,0.07,53,1.96,0.538,0.713,0.864,1361,63,34,2.69,202,44,0.03,235,76,1169
67,1353,1152,28.13,0,,,23,28378,3707,458.0,2,3817,32506,19.91,0.09,43,1.95,0.897,0.927,0.955,6831,68,29,2.728,202,42,0.01,431,184,1456
19,1425,1204,27.89,0,,,7,254441,40968,134.0,2,41001,297967,19.14,0.33,11,1.83,0.897,0.976,0.998,211647,395,11,3.72,202,27,0.0,3997,2104,1562
82,1041,1042,28.3,0,,,28,11157,298,558.0,2,1275,12053,19.93,0.07,53,1.96,0.538,0.713,0.864,1361,63,34,2.701,202,45,0.03,235,76,1169
70,1352,1152,27.85,0,,,24,28621,3707,478.0,2,3828,32754,19.92,0.09,45,1.96,0.897,0.926,0.955,6102,70,30,2.874,202,41,0.01,431,183,1456
19,1421,1202,27.32,0,,,6,225734,36164,114.0,2,36719,264064,19.0,0.33,11,1.83,0.872,0.973,0.997,182542,343,11,3.437,202,27,0.0,3997,2157,1551
16,1393,1172,27.01,0,,,6,134065,22552,114.0,2,21641,156659,19.0,0.4,9,1.8,0.897,0.954,0.972,57145,150,8,4.207,202,16,0.0,235,38,1514
6,1283,960,26.84,0,,,2,118251,19951,42.0,1,19278,138288,21.0,0.5,3,1.5,0.846,0.879,0.796,50807,624,30,4.489,202,65,0.0,235,38,1291
67,1353,1152,27.77,0,,,23,28378,3707,458.0,2,3817,32506,19.91,0.09,43,1.95,0.897,0.927,0.955,6831,68,29,2.789,202,41,0.01,431,184,1456
