NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
85,1290,48,3.72,1,,,7
85,1290,48,3.69,1,,,7
107,1290,48,3.77,1,,,7
107,1290,48,3.7,1,,,8
85,1290,48,3.77,1,,,7
107,1290,48,3.48,1,,,8
85,1290,48,3.81,1,,,7
85,1290,48,3.65,1,,,7
85,1290,48,3.71,1,,,7
85,1290,48,3.64,1,,,7
107,1290,48,3.77,1,,,8
107,1290,48,3.54,1,,,8
85,1290,48,3.65,1,,,7
87,1290,48,3.69,1,,,7
107,1290,48,3.75,1,,,8
85,1290,48,3.9,1,,,7
85,1290,48,3.76,1,,,7
85,1290,48,3.75,1,,,7
107,1290,48,3.54,1,,,8
107,1290,48,3.77,1,,,7
85,1290,48,3.66,1,,,7
85,1290,48,3.73,1,,,7
85,1290,48,3.69,1,,,7
85,1290,48,3.7,1,,,7
87,1290,48,4.05,1,,,7
85,1290,48,3.8,1,,,7
85,1290,48,3.69,1,,,7
107,1290,48,3.68,1,,,8
85,1290,48,3.75,1,,,7
85,1290,48,3.71,1,,,7
