NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
39,611,332,898.46,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.565,336258,344,0.75,47,5,647
39,611,332,898.4,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,961.578,423829,512,1.12,47,5,647
39,611,332,897.97,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,981.633,330108,346,0.75,47,5,647
39,611,332,898.47,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.132,304984,522,1.14,47,5,647
39,611,332,898.51,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.027,334543,274,0.6,47,5,647
39,611,332,898.43,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,978.942,293276,346,0.75,47,5,647
39,611,332,898.51,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.011,369069,346,0.75,47,5,647
39,611,332,898.46,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.177,294249,346,0.75,47,5,647
39,611,332,897.93,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,978.631,257572,346,0.75,47,5,647
39,611,332,898.1,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,978.762,328232,274,0.6,47,5,647
39,611,332,898.28,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.217,341158,344,0.75,47,5,647
39,611,332,898.05,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.0,213429,344,0.75,47,5,647
39,611,332,898.08,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,978.551,333066,344,0.75,47,5,647
39,611,332,898.48,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.127,214364,522,1.14,47,5,647
39,611,332,897.98,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,978.721,339765,274,0.6,47,5,647
39,611,332,898.44,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.058,312201,346,0.75,47,5,647
39,611,332,898.49,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.568,289041,274,0.6,47,5,647
39,611,332,898.07,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,978.835,297308,512,1.12,47,5,647
39,611,332,898.39,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.455,236694,344,0.75,47,5,647
39,611,332,898.5,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.481,301249,522,1.14,47,5,647
39,611,332,898.05,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,978.788,311760,522,1.14,47,5,647
39,611,332,898.5,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.378,332481,346,0.75,47,5,647
39,611,332,898.49,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.109,345526,346,0.75,47,5,647
39,611,332,898.53,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.583,168620,274,0.6,47,5,647
39,611,332,899.2,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,981.705,392855,512,1.12,47,5,647
39,611,332,898.48,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.233,243899,346,0.75,47,5,647
39,611,332,898.02,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.024,219182,346,0.75,47,5,647
39,611,332,898.01,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,978.608,298582,274,0.6,47,5,647
39,611,332,898.43,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.346,340115,274,0.6,47,5,647
39,611,332,898.44,0,,,2,1651,469,43.0,22,44,2123,21.5,11.0,15,7.5,0.25,0.707,0.615,647,311,253,979.061,316079,274,0.6,47,5,647
