NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
430,1266,338,6.7,1,87,62,179
412,1267,338,7.35,1,149,121,162
425,1266,338,7.51,1,112,81,187
457,1265,338,6.96,1,107,63,194
365,1265,338,7.26,1,171,144,156
412,1267,338,6.93,1,149,121,162
365,1265,338,7.73,1,171,144,156
412,1267,338,7.05,1,149,121,162
456,1265,338,7.5,1,124,86,190
456,1265,338,7.46,1,124,86,190
456,1265,338,7.52,1,124,86,190
457,1265,338,6.87,1,124,82,196
539,1267,338,7.61,1,117,79,206
430,1266,338,6.24,1,87,62,179
430,1266,338,6.14,1,87,62,179
539,1267,338,6.92,1,111,73,206
456,1265,338,7.15,1,124,86,190
390,1265,338,7.63,1,179,153,161
456,1265,338,7.18,1,124,86,190
458,1265,338,7.45,1,105,65,193
412,1267,338,6.63,1,149,121,162
425,1266,338,7.66,1,112,81,187
456,1265,338,7.22,1,124,86,190
456,1265,338,7.27,1,124,86,195
365,1265,338,7.31,1,171,144,156
456,1265,338,7.11,1,124,86,190
433,1266,338,7.75,1,110,79,189
412,1267,338,7.08,1,149,121,162
456,1265,338,7.32,1,124,86,190
465,1267,338,6.89,1,141,59,185
