NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
391,1021,164,10.47,1,167,121,135
392,1021,164,10.41,1,167,121,135
391,1021,164,10.19,1,167,121,135
336,1020,164,11.35,1,234,157,129
288,1020,164,10.67,1,226,167,123
677,1021,164,10.58,1,174,122,180
288,1020,164,10.84,1,226,167,123
1082,1021,164,14.39,1,260,166,244
1063,1021,164,14.02,1,246,170,244
391,1021,164,10.18,1,167,121,135
1020,1021,164,13.41,1,251,184,237
391,1021,164,10.56,1,167,121,135
1061,1021,164,14.04,1,259,184,244
675,1021,164,11.46,1,169,120,181
697,1021,164,10.09,1,133,91,161
668,1021,164,11.27,1,199,148,179
1060,1021,164,13.67,1,246,170,244
675,1021,164,10.92,1,169,120,181
697,1021,164,10.09,1,133,91,161
372,1021,164,12.26,1,237,171,142
677,1021,164,10.59,1,174,122,180
291,1020,164,11.1,1,224,166,123
391,1021,164,10.03,1,167,121,135
668,1021,164,11.13,1,199,148,179
521,1021,164,11.37,1,187,147,154
671,1021,164,11.02,1,191,144,179
697,1021,164,10.45,1,133,91,161
339,1020,164,11.15,1,234,157,129
391,1021,164,10.35,1,167,121,135
288,1020,164,11.2,1,225,166,123
