NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1297,5492,413,25.47,1,509,358,293
742,5492,413,20.74,1,413,227,172
792,5492,413,22.82,1,387,204,226
742,5492,413,21.06,1,413,227,172
438,5301,416,899.98,0,1918,577,117
498,5646,432,899.87,0,2138,1026,128
1548,5492,413,27.94,1,582,388,301
1193,5492,413,25.26,1,511,368,280
794,5493,413,23.7,1,406,217,230
770,5492,413,24.52,1,432,262,255
1548,5492,413,28.23,1,582,388,301
2289,5491,413,39.22,1,722,447,432
787,5492,413,25.05,1,428,268,246
926,5491,413,24.39,1,482,246,211
923,5492,413,24.19,1,422,261,264
926,5491,413,24.73,1,480,244,211
787,5492,413,23.46,1,428,268,246
1186,5492,413,26.24,1,529,377,280
926,5491,413,23.99,1,482,246,211
1548,5492,413,27.79,1,582,388,301
787,5492,413,25.96,1,428,268,246
926,5491,413,24.28,1,482,246,211
1186,5492,413,25.03,1,529,377,280
924,5491,413,23.62,1,456,217,229
,,,,,,,
1687,5492,413,31.16,1,733,552,371
899,5493,413,24.79,1,457,271,274
937,5783,452,25.27,1,429,272,256
3302,5780,450,35.97,1,532,321,464
742,5492,413,20.88,1,413,227,172
