NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
589,1450,392,46.69,1,354,206,260
622,1450,392,54.42,1,351,183,255
655,1450,392,49.13,1,561,306,231
828,1450,392,55.48,1,459,203,307
900,1450,392,62.2,1,487,257,322
706,1450,392,44.7,1,387,154,271
689,1448,392,46.32,1,393,165,268
622,1450,392,58.4,1,351,183,255
622,1450,392,57.41,1,351,183,255
617,1450,392,54.37,1,317,160,257
710,1448,392,50.96,1,337,202,257
622,1450,392,57.04,1,351,183,255
705,1451,392,50.21,1,476,269,244
622,1450,392,56.68,1,351,183,255
622,1450,392,54.14,1,351,183,255
655,1450,392,47.3,1,561,306,231
418,1451,392,45.76,1,492,321,165
617,1450,392,53.02,1,317,160,257
622,1450,392,57.79,1,351,183,255
705,1451,392,50.98,1,476,269,244
418,1451,392,45.22,1,492,321,165
810,1450,392,51.07,1,454,204,299
706,1450,392,44.77,1,387,154,271
593,1448,392,40.41,1,326,194,214
622,1450,392,52.55,1,351,183,255
418,1451,392,44.45,1,492,321,165
630,1451,392,42.08,1,536,317,188
622,1450,392,52.54,1,351,183,255
606,1497,410,75.81,1,1029,404,170
915,1451,392,85.41,1,1057,369,384
