NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
396,2148,978,21.85,0,,,43,51182,13929,539.0,0,6937,66744,12.53,0.0,354,8.43,0.054,0.13,0.075,1884,9397,679,8.788,209,844,0.1,77,32,1204,9.326,6.177
1013,2008,482,21.28,0,,,70,79678,12563,1223.0,0,18186,94734,17.47,0.0,943,13.47,0.067,0.121,0.037,2055,33616,1016,5.471,209,1114,0.09,57,30,843,6.052,4.412
244,1995,524,19.84,0,,,34,78468,19649,346.0,0,12460,101323,10.18,0.0,210,6.18,0.041,0.121,0.04,1319,8660,389,6.128,208,452,0.03,165,70,800,6.842,6.613
302,1390,54,20.89,0,,,35,35329,9162,407.0,0,4863,45624,11.63,0.0,267,7.63,0.017,0.084,0.004,94,6447,567,7.98,209,704,0.1,76,27,93,8.34,6.401
274,2144,978,19.63,0,,,37,45718,12354,385.0,0,6254,59541,10.41,0.0,237,6.41,0.052,0.13,0.075,1840,6991,510,6.605,208,616,0.08,77,33,1195,7.063,6.312
,3045,1622,20.81,0,,,0,30891,8321,,,5317,39255,,,,,0.097,0.184,0.125,30934,,,0.371,202,0,0.0,77,49,2426,0.808,18.261
304,2141,982,21.26,0,,,40,52360,14343,424.0,0,7013,68378,10.6,0.0,264,6.6,0.05,0.129,0.075,2150,8302,547,7.736,208,660,0.07,76,35,1199,8.299,6.255
9,3170,1688,21.68,0,,,3,28638,7661,18.0,0,4951,36371,6.0,0.0,6,2.0,0.105,0.192,0.13,28535,33,21,0.38,205,46,0.01,60,48,2560,0.862,18.677
254,2127,974,20.26,0,,,35,41224,11037,359.0,0,5671,53581,10.26,0.0,219,6.26,0.049,0.129,0.075,1486,6249,489,6.81,208,600,0.08,77,32,1182,7.326,6.681
829,1991,454,19.97,0,,,64,65470,10315,1039.0,0,14920,77884,16.23,0.0,766,12.16,0.067,0.12,0.035,2050,26248,926,5.012,209,1050,0.1,57,30,806,5.567,4.066
224,1105,0,20.56,0,,,32,69339,17417,320.0,0,10946,89626,10.0,0.0,192,6.0,0.004,0.067,0.0,6,6817,333,6.087,208,404,0.03,165,68,6,6.743,6.659
1060,1922,428,19.77,0,,,57,59378,9315,1231.0,0,13554,70486,21.6,0.0,1003,17.6,0.049,0.116,0.033,1710,24011,838,5.169,209,938,0.09,58,31,719,5.768,4.269
927,1991,454,21.15,0,,,68,73540,11580,1161.0,0,16782,87447,17.07,0.0,860,12.84,0.067,0.12,0.035,2079,30433,999,5.615,209,1100,0.1,57,30,806,6.168,4.264
254,2334,1076,20.59,0,,,35,83552,20980,359.0,0,13277,107933,10.26,0.0,219,6.26,0.058,0.141,0.083,2706,9691,399,6.795,208,470,0.03,165,71,1437,7.544,6.669
424,1395,54,21.1,0,,,30,43480,12482,514.0,0,5609,57420,17.13,0.0,394,13.13,0.017,0.084,0.004,154,4890,273,6.87,208,464,0.07,76,40,95,7.256,8.318
244,2340,1078,20.23,0,,,34,80115,20099,346.0,0,12719,103479,10.18,0.0,210,6.18,0.06,0.141,0.083,3023,8984,389,6.211,208,458,0.03,165,71,1445,7.005,6.529
1368,2036,548,20.24,0,,,81,58272,13313,1611.0,0,9706,74830,19.89,0.0,1287,15.89,0.067,0.123,0.042,1165,23040,873,4.8,209,898,0.14,57,23,883,5.315,3.564
309,1858,422,20.8,0,,,32,30525,7917,417.0,0,4148,40739,13.03,0.0,278,8.97,0.041,0.112,0.032,1331,3865,538,7.556,209,652,0.11,110,50,629,7.846,6.533
