NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
,1186,120,1.58,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.007,202,0,0.0,23,12,310,0.092,1.257
,1186,120,1.7,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.019,202,0,0.0,23,12,310,0.108,1.369
,1186,120,1.59,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.019,202,0,0.0,23,12,310,0.111,1.23
,1186,120,1.76,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.016,202,0,0.0,23,12,310,0.103,1.386
,1186,120,1.67,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.026,202,0,0.0,23,12,310,0.143,1.284
,1186,120,1.97,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.008,202,0,0.0,23,12,310,0.137,1.612
,1186,120,1.73,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.005,202,0,0.0,23,12,310,0.122,1.307
,1186,120,1.6,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.019,202,0,0.0,23,12,310,0.126,1.234
,1186,120,1.62,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.007,202,0,0.0,23,12,310,0.101,1.28
,1186,120,1.63,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.016,202,0,0.0,23,12,310,0.15,1.251
,1186,120,1.58,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.01,202,0,0.0,23,12,310,0.139,1.193
,1186,120,1.73,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.026,202,0,0.0,23,12,310,0.097,1.382
,1186,120,1.59,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.004,202,0,0.0,23,12,310,0.095,1.288
,1186,120,1.78,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.015,202,0,0.0,23,12,310,0.12,1.411
,1186,120,1.57,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.007,202,0,0.0,23,12,310,0.111,1.205
,1186,120,1.68,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.006,202,0,0.0,23,12,310,0.094,1.324
,1186,120,1.68,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.002,202,0,0.0,23,12,310,0.127,1.32
,1186,120,1.66,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.007,202,0,0.0,23,12,310,0.088,1.274
,1186,120,1.98,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.029,202,0,0.0,23,12,310,0.153,1.506
,1186,120,1.68,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.007,202,0,0.0,23,12,310,0.076,1.329
,1186,120,1.6,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.011,202,0,0.0,23,12,310,0.09,1.274
,1186,120,1.55,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.016,202,0,0.0,23,12,310,0.093,1.189
,1186,120,1.53,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.007,202,0,0.0,23,12,310,0.098,1.2
,1186,120,1.94,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.034,202,0,0.0,23,12,310,0.163,1.453
,1186,120,1.66,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.005,202,0,0.0,23,12,310,0.125,1.303
,1186,120,1.58,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.01,202,0,0.0,23,12,310,0.142,1.19
,1186,120,1.81,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.034,202,0,0.0,23,12,310,0.09,1.441
,1186,120,1.57,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.009,202,0,0.0,23,12,310,0.119,1.214
,1186,120,1.91,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.003,202,0,0.0,23,12,310,0.146,1.467
,1186,120,2.04,1,,,0,642,99,,,2,740,,,,,0.636,0.978,0.909,642,,,0.033,202,0,0.0,23,12,310,0.151,1.581
