NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
9,196,10,0.23,1,,,2,124,10,13.0,0,32,139,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.041,202,0,0.0,3,2,43,0.059,0.137
9,196,10,0.24,1,,,2,128,10,13.0,0,32,141,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.033,202,0,0.0,3,1,43,0.063,0.111
6,196,10,0.24,1,,,1,93,7,8.0,0,23,103,8.0,0.0,5,5.0,0.286,0.803,0.333,50,10,7,0.032,202,0,0.0,3,2,43,0.048,0.126
6,196,10,0.25,1,,,1,95,7,8.0,0,23,104,8.0,0.0,5,5.0,0.286,0.803,0.333,50,10,7,0.03,202,0,0.0,3,2,43,0.067,0.123
9,196,10,0.38,1,,,2,126,10,13.0,0,32,140,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.046,202,0,0.0,3,1,43,0.075,0.216
9,196,10,0.27,1,,,2,126,10,13.0,0,32,140,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.064,202,0,0.0,3,1,43,0.092,0.135
6,196,10,0.23,1,,,1,93,7,8.0,0,23,103,8.0,0.0,5,5.0,0.286,0.803,0.333,50,10,7,0.021,202,0,0.0,3,2,43,0.033,0.127
9,196,10,0.25,1,,,2,142,11,13.0,0,35,157,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.032,202,0,0.0,3,2,43,0.042,0.134
9,196,10,0.27,1,,,2,140,11,13.0,0,35,156,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.031,202,0,0.0,3,2,43,0.077,0.136
9,196,10,0.29,1,,,2,128,10,13.0,0,32,141,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.048,202,0,0.0,3,1,43,0.072,0.141
9,196,10,0.23,1,,,2,126,10,13.0,0,32,140,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.044,202,0,0.0,3,1,43,0.057,0.13
9,196,10,0.27,1,,,2,124,10,13.0,0,32,139,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.041,202,0,0.0,3,2,43,0.059,0.166
9,196,10,0.25,1,,,2,128,10,13.0,0,32,141,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.031,202,0,0.0,3,1,43,0.056,0.118
9,196,10,0.31,1,,,2,137,11,13.0,0,34,153,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.044,202,0,0.0,3,2,43,0.074,0.154
9,196,10,0.25,1,,,2,137,11,13.0,0,34,153,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.032,202,0,0.0,3,2,43,0.051,0.147
6,196,10,0.21,1,,,1,101,8,8.0,0,25,111,8.0,0.0,5,5.0,0.286,0.803,0.333,50,10,7,0.024,202,0,0.0,3,2,43,0.04,0.116
6,196,10,0.25,1,,,1,95,7,8.0,0,23,104,8.0,0.0,5,5.0,0.286,0.803,0.333,50,10,7,0.026,202,0,0.0,3,2,43,0.043,0.157
9,196,10,0.26,1,,,2,126,10,13.0,0,32,140,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.043,202,0,0.0,3,1,43,0.06,0.147
9,196,10,0.25,1,,,2,126,10,13.0,0,32,140,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.029,202,0,0.0,3,1,43,0.059,0.133
9,196,10,0.25,1,,,2,128,10,13.0,0,32,141,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.039,202,0,0.0,3,1,43,0.074,0.132
9,196,10,0.34,1,,,2,128,10,13.0,0,32,141,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.077,202,0,0.0,3,1,43,0.104,0.161
9,196,10,0.33,1,,,2,152,12,13.0,0,38,167,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.034,202,0,0.0,3,1,43,0.087,0.151
9,196,10,0.24,1,,,2,126,10,13.0,0,32,140,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.046,202,0,0.0,3,1,43,0.066,0.131
9,196,10,0.27,1,,,2,142,11,13.0,0,35,157,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.034,202,0,0.0,3,2,43,0.059,0.143
9,196,10,0.33,1,,,2,152,12,13.0,0,38,167,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.042,202,0,0.0,3,2,43,0.052,0.184
9,196,10,0.29,1,,,2,152,12,13.0,0,38,167,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.037,202,0,0.0,3,1,43,0.077,0.14
9,196,10,0.33,1,,,2,152,12,13.0,0,38,167,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.038,202,0,0.0,3,2,43,0.062,0.167
9,196,10,0.26,1,,,2,128,10,13.0,0,32,141,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.034,202,0,0.0,3,1,43,0.083,0.121
9,196,10,0.28,1,,,2,142,11,13.0,0,35,157,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.046,202,0,0.0,3,2,43,0.077,0.128
9,196,10,0.27,1,,,2,142,11,13.0,0,35,157,6.5,0.0,7,3.5,0.286,0.803,0.333,50,16,7,0.04,202,0,0.0,3,2,43,0.058,0.155
