NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
4,2380,142,5.22,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.05,202,9,0.13,19,9,528,1.416,2.798
4,2380,142,4.93,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,0.962,202,9,0.13,19,9,528,1.178,2.891
4,2380,142,5.12,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.032,202,9,0.13,19,9,528,1.184,2.865
4,2380,142,4.98,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.03,202,9,0.13,19,9,528,1.228,2.861
4,2380,142,4.95,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.087,202,9,0.13,19,9,528,1.246,2.817
4,2380,142,4.89,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.07,202,9,0.13,19,9,528,1.297,2.712
4,2380,142,4.66,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,0.961,202,9,0.13,19,9,528,1.179,2.578
4,2380,142,5.04,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.132,202,9,0.13,19,9,528,1.342,2.711
4,2380,142,5.07,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.066,202,9,0.13,19,9,528,1.264,2.809
4,2380,142,4.92,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.003,202,9,0.13,19,9,528,1.213,2.679
4,2380,142,5.05,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.021,202,9,0.13,19,9,528,1.239,2.755
4,2380,142,4.88,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.017,202,9,0.13,19,9,528,1.232,2.685
4,2380,142,4.85,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,0.991,202,9,0.13,19,9,528,1.224,2.698
4,2380,142,5.09,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.073,202,9,0.13,19,9,528,1.336,2.817
4,2380,142,4.8,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,0.929,202,9,0.13,19,9,528,1.191,2.715
4,2380,142,4.7,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,0.885,202,9,0.13,19,9,528,1.087,2.701
4,2380,142,5.07,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.075,202,9,0.13,19,9,528,1.279,2.855
4,2380,142,4.88,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,0.961,202,9,0.13,19,9,528,1.159,2.754
4,2380,142,5.03,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,0.99,202,9,0.13,19,9,528,1.206,2.726
4,2380,142,4.89,1,,,3,2827,309,7.0,0,19,3148,2.33,0.0,2,0.67,0.744,0.969,0.877,765,12,5,1.014,202,9,0.13,19,9,528,1.19,2.722
