NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
89,2513,652,24.71,0,,,39,21378,2733,128.0,0,1160,24885,3.28,0.0,56,1.44,0.148,0.293,0.231,4516,2113,206,14.215,227,256,0.13,33,7,1572,14.514,5.354
40,1748,298,9.97,0,,,29,10171,1118,72.0,1,526,11659,2.48,0.03,16,0.55,0.132,0.204,0.106,2840,801,176,3.55,234,271,0.2,27,10,901,3.704,3.239
119,2581,672,24.38,0,,,37,34959,4532,156.0,0,1318,40560,4.22,0.0,88,2.38,0.152,0.301,0.238,3667,2524,350,12.336,242,284,0.13,37,12,1625,12.585,6.92
71,1665,274,14.63,0,,,43,13611,1481,156.0,1,734,15689,3.63,0.02,33,0.77,0.123,0.194,0.097,2436,1180,220,4.413,228,262,0.17,29,9,821,4.61,4.415
71,1665,274,13.94,0,,,43,13611,1481,156.0,1,734,15689,3.63,0.02,33,0.77,0.123,0.194,0.097,2436,1180,220,4.53,228,262,0.17,29,9,821,4.706,3.736
99,1880,386,19.76,0,,,39,56837,4996,157.0,7,1370,63012,4.03,0.18,59,1.51,0.134,0.219,0.137,5490,2236,575,5.024,385,624,0.21,61,25,1091,5.429,8.652
40,1748,298,11.33,0,,,29,10171,1118,72.0,1,526,11659,2.48,0.03,16,0.55,0.132,0.204,0.106,2840,801,176,3.839,234,271,0.2,27,10,901,4.058,3.962
119,2485,632,23.74,0,,,37,34741,4514,156.0,0,1312,40319,4.22,0.0,88,2.38,0.143,0.289,0.224,3444,2518,350,11.176,242,284,0.13,37,12,1519,11.465,6.968
71,1665,274,12.39,0,,,43,13611,1481,156.0,1,734,15689,3.63,0.02,33,0.77,0.123,0.194,0.097,2436,1180,220,4.168,228,262,0.17,29,9,821,4.35,3.343
119,2581,672,24.71,0,,,37,34959,4532,156.0,0,1318,40560,4.22,0.0,88,2.38,0.152,0.301,0.238,3667,2524,350,13.493,242,284,0.13,37,12,1625,13.758,6.335
71,1665,274,12.6,0,,,43,13611,1481,156.0,1,734,15689,3.63,0.02,33,0.77,0.123,0.194,0.097,2436,1180,220,4.011,228,262,0.17,29,9,821,4.197,3.361
93,1880,386,17.87,0,,,38,52385,4623,150.0,6,1290,58113,3.95,0.16,55,1.45,0.134,0.219,0.137,8755,2096,545,4.75,377,577,0.2,62,25,1091,5.183,7.422
