NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
2023,5694,1372,893.85,0,,,168,11352417,1268770,2306.0,0,543618,12688090,13.73,0.0,1855,11.04,0.525,0.484,0.483,1907160,1153979,16750,344.585,245,12036,0.02,87,57,,398.184,386.23
34,4245,836,894.3,0,,,18,5744677,629360,62.0,0,318978,6384094,3.44,0.0,20,1.11,0.357,0.361,0.295,5744460,169118,110,195.735,226,152,0.0,10417,5500,,250.991,522.755
2023,5694,1372,893.26,0,,,168,10936854,1222138,2306.0,0,523862,12223776,13.73,0.0,1855,11.04,0.525,0.484,0.483,1491597,1113837,16750,351.556,245,12036,0.03,87,57,,410.448,370.204
2023,5694,1372,892.72,0,,,168,11038841,1233619,2306.0,0,528718,12337749,13.73,0.0,1855,11.04,0.525,0.484,0.483,1593581,1123680,16750,361.794,245,12036,0.03,87,57,,414.705,366.474
122,,,,,,,31,5336673,642079,157.0,0,323606,5981689,5.06,0.0,92,2.97,,,,,11231,804,57.758,227,965,0.0,1457,1155,,150.461,658.987
644,6004,1584,892.53,0,,,215,14203332,938981,1483.0,0,472613,15521652,6.9,0.0,492,2.29,0.532,0.511,0.558,444768,187229,1399,187.863,226,1610,0.0,14063,5616,4546,259.825,499.957
34,4879,1078,894.12,0,,,18,5889388,657016,62.0,0,328005,6547837,3.44,0.0,20,1.11,0.429,0.415,0.38,5880574,177632,110,145.938,226,152,0.0,135,79,,260.622,499.294
910,6864,1768,892.65,0,,,336,7539776,752527,2050.0,0,235207,8414345,6.1,0.0,724,2.15,0.621,0.584,0.623,40729,349170,4879,553.652,233,4954,0.02,3806,403,5297,590.023,221.389
2023,5687,1370,892.72,0,,,168,10525601,1176008,2306.0,0,504320,11764297,13.73,0.0,1855,11.04,0.525,0.484,0.483,1080347,1074133,16714,350.966,245,12018,0.03,87,57,,405.466,379.343
706,5268,1334,892.89,0,,,231,14762639,978057,1616.0,0,489259,16135203,7.0,0.0,544,2.35,0.479,0.448,0.47,85991,180024,1519,185.742,226,1693,0.0,14049,4989,3803,262.783,505.864
