tool	CPAchecker [1.7-svn c083924+; 1.7-svn 341f83a+]	CPAchecker [1.7-svn c083924+; 1.7-svn 341f83a+]	CPAchecker [1.7-svn c083924+; 1.7-svn 341f83a+]	CPAchecker [1.7-svn c083924+; 1.7-svn 341f83a+]	CPAchecker 1.7-svn 4d0163e+	CPAchecker 1.7-svn 4d0163e+	CPAchecker 1.7-svn 4d0163e+	CPAchecker 1.7-svn 4d0163e+
run set	benchmark-TS-ABEl-AvoidChainEffect-machine.Test-PA-ABEl-CE	benchmark-TS-ABEl-AvoidChainEffect-machine.Test-PA-ABEl-CE	benchmark-TS-ABEl-AvoidChainEffect-machine.Test-PA-ABEl-CE	benchmark-TS-ABEl-AvoidChainEffect-machine.Test-PA-ABEl-CE	benchmark-TS-ABEl-CPAseq-machine.Test-CPAseq	benchmark-TS-ABEl-CPAseq-machine.Test-CPAseq	benchmark-TS-ABEl-CPAseq-machine.Test-CPAseq	benchmark-TS-ABEl-CPAseq-machine.Test-CPAseq
../sv-benchmarks/c/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	status	CPU Time (s)	Wall Time (s)	Memory (MB)
ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c	ERROR	40.264350031	40.392655823379755	421.281792	unknown	124.647721879	113.66622833535075	2019.4426879999999
array-examples/standard_init1_true-unreach-call_ground.i	TIMEOUT	900.310729221	900.7669948898256	481.04652799999997	unknown	352.649726037	346.7194689475	1149.816832
array-examples/standard_find_true-unreach-call_ground.i	OUT OF MEMORY	867.733629459	857.4157454147935	6999.998463999999	unknown	353.964999435	343.4725629799068	2500.9070079999997
array-tiling/nr4_true-unreach-call.i	ERROR	2.563439824	1.5208734832704067	150.982656	unknown	3.769557869	2.1599121131002903	296.927232
list-properties/alternating_list_false-unreach-call_false-valid-memcleanup.i	false(unreach-call)	2.604909827	1.5418091714382172	173.4656	ASSERTION	2.960700245	1.6682461239397526	186.028032
ldv-regression/test11_true-unreach-call_true-termination.c	true	2.154609442	1.2639194652438164	150.953984	ASSERTION	2.517379464	1.4772078953683376	171.307008
ldv-sets/test_mutex_double_unlock_false-unreach-call.i	TIMEOUT	900.33370252	897.0708027146757	498.61017599999997	unknown	62.490873676	59.46703790128231	725.0575359999999
bitvector/s3_srvr_2_true-unreach-call_true-no-overflow_false-termination.BV.c.cil.c	TIMEOUT	900.380983993	893.1985944136977	714.7356159999999	true	48.793325883	42.34106918051839	1119.2279039999999
loop-crafted/simple_array_index_value_true-unreach-call2_true-termination.i	OUT OF MEMORY	881.025671358	870.8887721523643	6999.998463999999	unknown	446.63400508	389.23238383606076	5538.97984
loop-new/count_by_2_true-unreach-call_true-termination.i	OUT OF MEMORY	835.065338481	825.461175724864	6999.998463999999	unknown	352.662796323	342.6919803470373	2237.857792
eca-rers2012/Problem12_label37_false-unreach-call.c	TIMEOUT	901.88814656	894.7390575669706	4356.009983999999	OUT OF MEMORY	243.506174107	214.68081651255488	6999.998463999999
eca-rers2012/Problem15_label25_false-unreach-call.c	TIMEOUT	903.961563192	897.3412483669817	5936.963584	false(unreach-call)	13.567759431	7.6341967433691025	734.572544
eca-rers2012/Problem07_label19_false-unreach-call.c	TIMEOUT	909.223085172	851.1170997396111	5148.553215999999	unknown	402.120489598	310.4948551990092	5076.914175999999
eca-rers2012/Problem18_label10_false-unreach-call.c	TIMEOUT	901.362996912	893.4763397276402	4422.930432	false(unreach-call)	54.913492468	41.305277194827795	2770.948096
eca-rers2012/Problem15_label29_false-unreach-call.c	TIMEOUT	901.385035398	894.6753767207265	4509.970432	false(unreach-call)	12.528982794	6.8502687849104404	704.6184959999999
eca-rers2012/Problem17_label48_true-unreach-call.c	TIMEOUT	901.880599964	896.6246318556368	3348.4226559999997	unknown	357.68515547	329.9073338806629	5892.558848
eca-rers2012/Problem11_label32_true-unreach-call.c	TIMEOUT	900.799547574	894.1153768599033	1990.713344	unknown	355.087435379	332.0749115869403	3783.4219519999997
eca-rers2012/Problem12_label02_true-unreach-call.c	TIMEOUT	904.468278251	895.9979343116283	6716.78464	unknown	364.744113207	333.17584182322025	5667.115008
eca-rers2012/Problem13_label50_true-unreach-call.c	TIMEOUT	902.83268814	894.5515465922654	6966.349824	OUT OF MEMORY	169.868659601	143.69802672043443	6999.998463999999
eca-rers2012/Problem17_label47_true-unreach-call.c	TIMEOUT	901.85214723	896.9534282572567	3293.253632	unknown	358.141475608	331.45430582761765	5842.57536
eca-rers2012/Problem15_label13_true-unreach-call.c	TIMEOUT	901.381361959	894.114561650902	4548.1984	unknown	357.603220936	334.3869709186256	5561.085951999999
eca-rers2012/Problem19_label24_true-unreach-call.c	TIMEOUT	903.94760596	894.7967409156263	6781.755392	OUT OF MEMORY	189.849689982	155.61517765372992	6999.998463999999
eca-rers2012/Problem18_label50_true-unreach-call.c	TIMEOUT	901.329496888	892.6148103363812	4472.004608	unknown	358.855676981	332.7617510072887	4049.522688
eca-rers2012/Problem12_label58_true-unreach-call.c	TIMEOUT	901.867815771	894.9521844983101	4466.552831999999	unknown	362.054303479	332.15388025715947	6069.682175999999
seq-mthreaded/pals_lcr.7_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c	TIMEOUT	900.389575055	896.2665822692215	764.3873279999999	unknown	210.354288959	203.62958905473351	945.9425279999999
seq-mthreaded/rekh_aso_true-unreach-call.1.M4.c	TIMEOUT	900.672837582	897.5900277458131	1224.675328	unknown	357.202385658	340.0848596394062	3078.8526079999997
seq-mthreaded/pals_lcr.7_true-unreach-call.ufo.BOUNDED-14.pals_true-termination.c	TIMEOUT	900.36713861	896.8336969576776	644.6899199999999	unknown	209.413427497	203.34529396891594	972.8860159999999
seq-pthread/cs_dekker_true-unreach-call.i	TIMEOUT	900.449306576	897.0320536345243	806.490112	unknown	209.87153006	204.21119048446417	634.195968
float-benchs/sin_interpolated_negation_true-unreach-call.c	ERROR	17.101685248	15.901182238012552	469.31968	unknown	21.504457846	19.404230684041977	550.862848
floats-esbmc-regression/Double_div_true-unreach-call.i	ERROR	1.981116809	1.1901572495698929	144.81408	true	5.127136514	2.838989842683077	379.097088
ldv-linux-3.0/module_get_put-drivers-block-loop.ko_false-unreach-call.cil.out.i.pp.i	false(unreach-call)	15.408383068	9.64149433746934	415.145984	unknown	210.194266717	161.52760093286633	4854.648832
ldv-linux-3.4-simple/32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--media--dvb--frontends--cxd2820r.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c	TIMEOUT	902.24987022	895.5292362011969	3907.948544	true	97.608751875	88.27903016284108	2285.584384
ldv-consumption/32_7a_cilled_true-unreach-call_linux-3.8-rc1-32_7a-drivers--net--wireless--zd1211rw--zd1211rw.ko-ldv_main1_sequence_infinite_withcheck_stateful.cil.out.c	TIMEOUT	900.70798499	891.6814569719136	3129.454592	true	115.981507066	98.13732539489865	2506.481664
ldv-consumption/32_7a_cilled_true-unreach-call_linux-3.8-rc1-drivers--video--aty--radeonfb.ko-main.cil.out.c	TIMEOUT	901.097695446	886.2834424860775	1759.3384959999999	true	130.804349951	118.11605857685208	2185.4781439999997
ldv-consumption/32_7a_cilled_true-unreach-call_linux-3.8-rc1-32_7a-drivers--hwmon--applesmc.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c	TIMEOUT	900.78481576	714.149408236146	6722.531328	true	96.916192436	82.76057689264417	2788.274176
ldv-linux-3.12-rc1/linux-3.12-rc1.tar.xz-144_2a-drivers--media--usb--ttusb-dec--ttusb_dec.ko-entry_point_false-unreach-call.cil.out.c	ERROR	458.915255365	442.69645393267274	1888.89088	unknown	237.385094379	203.06678265705705	3039.453184
ldv-linux-3.16-rc1/43_2a_bitvector_linux-3.16-rc1.tar.xz-43_2a-drivers--usb--host--max3421-hcd.ko-entry_point_false-unreach-call.cil.out.c	false(unreach-call)	8.959875483	5.753056917339563	404.959232	ASSERTION	7.829102479	4.161053538322449	400.760832
