tool	CPAchecker [1.7-svn c083924+; 1.7-svn 341f83a+]	CPAchecker [1.7-svn c083924+; 1.7-svn 341f83a+]	CPAchecker [1.7-svn c083924+; 1.7-svn 341f83a+]	CPAchecker [1.7-svn c083924+; 1.7-svn 341f83a+]	CPAchecker 1.7-svn 4d0163e+	CPAchecker 1.7-svn 4d0163e+	CPAchecker 1.7-svn 4d0163e+	CPAchecker 1.7-svn 4d0163e+
run set	benchmark-TS-ABEl-AvoidChainEffect-machine.Test-PA-ABEl-CE	benchmark-TS-ABEl-AvoidChainEffect-machine.Test-PA-ABEl-CE	benchmark-TS-ABEl-AvoidChainEffect-machine.Test-PA-ABEl-CE	benchmark-TS-ABEl-AvoidChainEffect-machine.Test-PA-ABEl-CE	benchmark-TS-ABEl-CPAseq-machine.Test-CPAseq	benchmark-TS-ABEl-CPAseq-machine.Test-CPAseq	benchmark-TS-ABEl-CPAseq-machine.Test-CPAseq	benchmark-TS-ABEl-CPAseq-machine.Test-CPAseq
../sv-benchmarks/c/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	status	CPU Time (s)	Wall Time (s)	Memory (MB)
ntdrivers-simplified/diskperf_simpl1_true-unreach-call_true-valid-memsafety_true-termination.cil.c	true	5.615032619	5.4644524566829205	248.262656	true	96.144115779	91.06057968363166	920.3711999999999
locks/test_locks_14_true-unreach-call_true-valid-memsafety_false-termination.c	true	2.340706151	2.3641395196318626	150.77375999999998	true	152.883982044	147.2004519365728	1858.281472
ssh/s3_srvr.blast.14_true-unreach-call.i.cil.c	ERROR	40.264350031	40.392655823379755	421.281792	unknown	124.647721879	113.66622833535075	2019.4426879999999
array-examples/standard_init1_true-unreach-call_ground.i	TIMEOUT	900.310729221	900.7669948898256	481.04652799999997	unknown	352.649726037	346.7194689475	1149.816832
array-examples/standard_find_true-unreach-call_ground.i	OUT OF MEMORY	867.733629459	857.4157454147935	6999.998463999999	unknown	353.964999435	343.4725629799068	2500.9070079999997
reducercommutativity/rangesum05_false-unreach-call_true-termination.i	false(unreach-call)	65.322581159	63.47657109797001	407.94111999999996	false(unreach-call)	72.449641525	66.92482516542077	569.532416
array-tiling/nr4_true-unreach-call.i	ERROR	2.563439824	1.5208734832704067	150.982656	unknown	3.769557869	2.1599121131002903	296.927232
bitvector/s3_srvr_3_true-unreach-call_true-no-overflow.BV.c.cil.c	true	16.060445811	10.725208647549152	415.0272	true	16.000934064	11.397761438041925	788.975616
list-properties/alternating_list_false-unreach-call_false-valid-memcleanup.i	false(unreach-call)	2.604909827	1.5418091714382172	173.4656	ASSERTION	2.960700245	1.6682461239397526	186.028032
ldv-regression/test_union_cast-2_true-unreach-call_true-termination.i	true	2.056598799	1.1862326227128506	145.698816	true	2.846403744	1.6307719200849533	209.477632
ldv-regression/test11_true-unreach-call_true-termination.c	true	2.154609442	1.2639194652438164	150.953984	ASSERTION	2.517379464	1.4772078953683376	171.307008
forester-heap/sll-circular_false-unreach-call_false-valid-memcleanup.i	false(unreach-call)	2.541324993	1.4692518003284931	147.263488	false(unreach-call)	3.659023394	2.02628917619586	203.788288
ldv-sets/test_mutex_double_unlock_false-unreach-call.i	TIMEOUT	900.33370252	897.0708027146757	498.61017599999997	unknown	62.490873676	59.46703790128231	725.0575359999999
bitvector/s3_srvr_2_true-unreach-call_true-no-overflow_false-termination.BV.c.cil.c	TIMEOUT	900.380983993	893.1985944136977	714.7356159999999	true	48.793325883	42.34106918051839	1119.2279039999999
loops/sum01_false-unreach-call_true-termination.i	false(unreach-call)	3.520686061	1.9906968139111996	185.720832	false(unreach-call)	4.526988571	2.565461575984955	276.856832
loops/trex03_true-unreach-call_true-termination.i	true	2.039973276	1.200823973864317	143.069184	true	3.008174917	1.7342029362916946	194.834432
loop-crafted/simple_array_index_value_true-unreach-call2_true-termination.i	OUT OF MEMORY	881.025671358	870.8887721523643	6999.998463999999	unknown	446.63400508	389.23238383606076	5538.97984
loop-new/count_by_2_true-unreach-call_true-termination.i	OUT OF MEMORY	835.065338481	825.461175724864	6999.998463999999	unknown	352.662796323	342.6919803470373	2237.857792
product-lines/elevator_spec3_product28_false-unreach-call_true-termination.cil.c	false(unreach-call)	36.938837118	29.618525184690952	1185.36192	false(unreach-call)	6.425695757	3.4779025726020336	320.720896
product-lines/elevator_spec1_product29_true-unreach-call_true-termination.cil.c	true	172.491755772	163.3185125850141	1305.767936	true	4.449013443	2.440158549696207	243.95366399999997
product-lines/email_spec3_product31_false-unreach-call_true-termination.cil.c	false(unreach-call)	4.521310951	2.6378265619277954	266.858496	false(unreach-call)	5.436518226	2.986991908401251	281.14124799999996
product-lines/email_spec11_product15_false-unreach-call_true-termination.cil.c	false(unreach-call)	13.197029257	7.971835575997829	331.456512	false(unreach-call)	8.411699835	4.445178598165512	332.96384
product-lines/email_spec9_product35_false-unreach-call_true-termination.cil.c	false(unreach-call)	33.587628875	27.13796792179346	506.355712	false(unreach-call)	10.566349879	5.653407126665115	396.058624
product-lines/email_spec7_product35_false-unreach-call_true-termination.cil.c	false(unreach-call)	41.294292481	34.859596624970436	473.923584	false(unreach-call)	6.877223754	3.6536553762853146	300.12211199999996
product-lines/email_spec9_product12_true-unreach-call_true-termination.cil.c	true	4.265493613	2.419719833880663	207.675392	true	43.817779045	32.725663397461176	1108.701184
product-lines/minepump_spec4_product48_false-unreach-call_false-termination.cil.c	false(unreach-call)	3.692457365	2.1387044079601765	195.239936	false(unreach-call)	4.50144885	2.469899084419012	264.577024
product-lines/minepump_spec3_product10_false-unreach-call_false-termination.cil.c	false(unreach-call)	2.537321535	1.4659479930996895	171.92140799999999	false(unreach-call)	3.24912798	1.844924669712782	187.928576
product-lines/minepump_spec2_product04_true-unreach-call_false-termination.cil.c	true	2.785268604	1.602083943784237	149.229568	true	3.28294631	1.7872020527720451	208.359424
product-lines/minepump_spec5_product54_true-unreach-call_false-termination.cil.c	true	3.945141259	2.214765004813671	214.28633599999998	true	4.293831702	2.3745272159576416	248.82380799999999
product-lines/minepump_spec4_product11_true-unreach-call_false-termination.cil.c	true	2.714644669	1.5013543851673603	163.569664	true	3.56991038	1.9627719186246395	227.76217599999998
product-lines/minepump_spec1_product11_true-unreach-call_false-termination.cil.c	true	2.539219481	1.4881686717271805	151.56838399999998	true	3.757545487	2.010748617351055	249.516032
product-lines/minepump_spec2_product24_true-unreach-call_false-termination.cil.c	true	3.282705453	1.860822007060051	184.209408	true	3.709804759	2.04261876270175	173.54752
product-lines/minepump_spec5_product39_true-unreach-call_false-termination.cil.c	true	3.919526772	2.192262277007103	200.216576	true	4.829463392	2.6152275688946247	302.497792
eca-rers2012/Problem12_label37_false-unreach-call.c	TIMEOUT	901.88814656	894.7390575669706	4356.009983999999	OUT OF MEMORY	243.506174107	214.68081651255488	6999.998463999999
eca-rers2012/Problem15_label25_false-unreach-call.c	TIMEOUT	903.961563192	897.3412483669817	5936.963584	false(unreach-call)	13.567759431	7.6341967433691025	734.572544
eca-rers2012/Problem10_label57_false-unreach-call.c	false(unreach-call)	50.692679564	47.26293107867241	959.066112	false(unreach-call)	9.497210924	5.106435738503933	443.53535999999997
eca-rers2012/Problem07_label19_false-unreach-call.c	TIMEOUT	909.223085172	851.1170997396111	5148.553215999999	unknown	402.120489598	310.4948551990092	5076.914175999999
eca-rers2012/Problem09_label54_false-unreach-call.c	OUT OF JAVA MEMORY	582.156424898	313.65860856696963	6714.523647999999	OUT OF JAVA MEMORY	754.165300053	438.44418027997017	6708.412416
eca-rers2012/Problem18_label10_false-unreach-call.c	TIMEOUT	901.362996912	893.4763397276402	4422.930432	false(unreach-call)	54.913492468	41.305277194827795	2770.948096
eca-rers2012/Problem01_label47_false-unreach-call_false-termination.c	false(unreach-call)	9.325035023	4.9325244054198265	375.64416	false(unreach-call)	7.844352935	4.134442385286093	362.033152
