,var,n,wt,dev,yval,complexity,ncompete,nsurrogate,yval2.,yval2.,yval2.,yval2.,yval2.,yval2.,yval2.,yval2.,yval2.,yval2.nodeprob,ncat,index
1,FUNCS,131,131,92,1,0.11956522,0,0,1,39,38,20,34,0.29770992,0.29007634,0.15267176,0.25954198,1,-1,847
2,VARSINC,123,123,84,1,0.11956522,0,0,1,39,37,20,27,0.31707317,0.30081301,0.16260163,0.2195122,0.9389313,1,11.5
4,AVNDFN,46,46,23,1,0.04347826,0,0,1,23,6,7,10,0.5,0.13043478,0.15217391,0.2173913,0.35114504,1,19.60978423
8,AVEGFN,28,28,10,1,0.01086957,0,0,1,18,6,3,1,0.64285714,0.21428571,0.10714286,0.03571429,0.21374046,-1,33.16461539
16,<leaf>,21,21,5,1,0,0,0,1,16,4,0,1,0.76190476,0.19047619,0,0.04761905,0.16030534,,
17,<leaf>,7,7,4,3,0.01,0,0,3,2,2,3,0,0.28571429,0.28571429,0.42857143,0,0.05343511,,
9,<leaf>,18,18,9,4,0.01,0,0,4,5,0,4,9,0.27777778,0,0.22222222,0.5,0.13740458,,
5,AVNDFN,77,77,46,2,0.06521739,0,0,2,16,31,13,17,0.20779221,0.4025974,0.16883117,0.22077922,0.58778626,1,39.05386307
10,<leaf>,12,12,5,1,0.01,0,0,1,7,1,0,4,0.58333333,0.08333333,0,0.33333333,0.09160305,,
11,MXCC,65,65,35,2,0.03804348,0,0,2,9,30,13,13,0.13846154,0.46153846,0.2,0.2,0.49618321,1,39
22,MXNDFN,34,34,13,2,0.01630435,0,0,2,4,21,7,2,0.11764706,0.61764706,0.20588235,0.05882353,0.25954198,-1,1249.5
44,<leaf>,14,14,2,2,0.01,0,0,2,1,12,0,1,0.07142857,0.85714286,0,0.07142857,0.10687023,,
45,VARSLOOP,20,20,11,2,0.01630435,0,0,2,3,9,7,1,0.15,0.45,0.35,0.05,0.15267176,-1,20.5
90,<leaf>,9,9,4,2,0.01,0,0,2,3,5,0,1,0.33333333,0.55555556,0,0.11111111,0.06870229,,
91,<leaf>,11,11,4,3,0.01,0,0,3,0,4,7,0,0,0.36363636,0.63636364,0,0.08396947,,
23,MXCC,31,31,20,4,0.03804348,0,0,4,5,9,6,11,0.16129032,0.29032258,0.19354839,0.35483871,0.23664122,-1,26.5
46,<leaf>,15,15,8,2,0.01,0,0,2,2,7,4,2,0.13333333,0.46666667,0.26666667,0.13333333,0.11450382,,
47,<leaf>,16,16,7,4,0.01,0,0,4,3,2,2,9,0.1875,0.125,0.125,0.5625,0.1221374,,
3,<leaf>,8,8,1,4,0.01,0,0,4,0,1,0,7,0,0.125,0,0.875,0.0610687,,
