NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
4,1335,1206,28.11,0,,,2,2579,296,32.0,2,85,2935,16.0,2.0,1,1.0,0.362,0.685,0.842,1343,6,4,8.629,202,14,0.12,239,107,1317,8.693,2.299
0,1905,1422,28.23,0,,,1,293460,50676,14.0,0,46667,344164,14.0,0.0,0,0.0,0.915,0.978,0.993,293489,,,0.815,202,0,0.0,236,47,1882,2.937,14.323
4,928,722,28.37,0,,,1,29416,5031,14.0,2,4397,34475,14.0,2.0,1,1.0,0.128,0.476,0.504,745,4,4,3.713,202,12,0.0,236,59,745,4.14,8.127
4,928,722,30.75,0,,,1,29109,647,14.0,2,4987,32215,14.0,2.0,1,1.0,0.128,0.476,0.504,745,4,4,8.246,202,12,0.0,2460,848,745,8.696,7.029
,1896,1414,27.67,0,,,0,379334,64108,,,59036,443460,,,,,0.872,0.973,0.987,379353,,,0.695,202,0,0.0,262,37,1865,2.6,20.627
4,1381,1234,27.83,0,,,1,23636,335,14.0,2,1622,24734,14.0,2.0,1,1.0,0.404,0.709,0.862,9071,19,4,9.479,202,14,0.01,640,312,1377,9.88,3.089
,1878,1396,27.62,0,,,0,259299,43980,,,40472,303314,,,,,0.872,0.964,0.975,259334,,,0.713,202,0,0.0,262,41,1838,2.483,20.407
4,1495,1308,27.26,0,,,1,12533,1050,14.0,2,1829,14628,14.0,2.0,1,1.0,0.426,0.767,0.913,7793,31,4,8.914,202,14,0.01,665,258,1528,9.167,3.259
4,1495,1308,27.35,0,,,1,16887,1149,14.0,2,2010,18943,14.0,2.0,1,1.0,0.426,0.767,0.913,12011,31,4,8.7,202,14,0.01,665,330,1528,9.06,3.55
4,1495,1308,27.83,0,,,1,19820,1215,14.0,2,2099,21942,14.0,2.0,1,1.0,0.426,0.767,0.913,14944,31,4,9.203,202,14,0.01,665,360,1528,9.585,3.538
0,1685,1386,28.02,0,,,1,244841,41065,14.0,0,30502,294302,14.0,0.0,0,0.0,0.745,0.865,0.968,253238,,,0.816,202,0,0.0,11552,5856,1726,3.103,12.03
0,1905,1422,27.77,0,,,1,293460,50676,14.0,0,46667,344164,14.0,0.0,0,0.0,0.915,0.978,0.993,293489,,,0.739,202,0,0.0,236,47,1882,3.155,15.09
0,1691,1386,27.57,0,,,1,267998,44926,14.0,0,33658,322022,14.0,0.0,0,0.0,0.745,0.868,0.968,277097,,,0.823,202,0,0.0,10499,5821,1731,3.224,13.473
0,1905,1422,28.15,0,,,1,293460,50676,14.0,0,46667,344164,14.0,0.0,0,0.0,0.915,0.978,0.993,293489,,,0.666,202,0,0.0,236,47,1882,2.445,14.319
