NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
64,223,122,898.55,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.767,51267,309,0.69,62,14,251,897.843,0.385
64,223,122,906.92,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,906.102,98738,309,0.69,62,14,251,906.199,0.391
64,223,122,898.49,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.714,118370,309,0.69,62,14,251,897.797,0.356
64,223,122,898.53,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.8,111919,309,0.69,62,14,251,897.894,0.328
64,223,122,898.5,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.772,105229,309,0.69,62,14,251,897.841,0.35
64,223,122,898.56,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.813,170400,309,0.69,62,14,251,897.888,0.384
64,223,122,907.29,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,906.55,98738,309,0.69,62,14,251,906.651,0.308
64,223,122,898.5,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.829,26944,309,0.69,62,14,251,897.891,0.342
64,223,122,898.55,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.825,56091,309,0.69,62,14,251,897.896,0.39
64,223,122,898.55,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.867,114522,309,0.69,62,14,251,897.914,0.344
64,223,122,898.64,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.83,238657,309,0.69,62,14,251,897.909,0.412
64,223,122,898.44,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.739,152652,309,0.69,62,14,251,897.801,0.353
64,223,122,898.52,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.793,50038,309,0.69,62,14,251,897.886,0.354
64,223,122,898.57,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.856,222401,309,0.69,62,14,251,897.924,0.417
64,223,122,898.58,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.823,20263,309,0.69,62,14,251,897.902,0.374
64,223,122,898.49,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.762,165249,309,0.69,62,14,251,897.858,0.319
64,223,122,898.5,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.741,5099,309,0.69,62,14,251,897.813,0.365
64,223,122,898.52,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.876,174805,309,0.69,62,14,251,897.948,0.325
64,223,122,898.58,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.89,56194,309,0.69,62,14,251,897.965,0.35
64,223,122,898.55,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.761,187060,309,0.69,62,14,251,897.806,0.398
64,223,122,898.55,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.807,257877,309,0.69,62,14,251,897.867,0.409
64,223,122,898.52,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.772,28403,309,0.69,62,14,251,897.884,0.341
64,223,122,905.6,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,904.903,98738,309,0.69,62,14,251,904.956,0.383
64,223,122,898.54,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.871,76789,309,0.69,62,14,251,897.929,0.363
64,223,122,898.46,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.766,48760,309,0.69,62,14,251,897.836,0.341
64,223,122,898.44,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.757,76129,309,0.69,62,14,251,897.857,0.333
64,223,122,898.58,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.942,98738,309,0.69,62,14,251,898.04,0.328
64,223,122,898.53,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.746,117941,309,0.69,62,14,251,897.829,0.361
64,223,122,898.54,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.867,107899,309,0.69,62,14,251,897.939,0.355
64,223,122,898.55,0,,,2,1161,281,67.0,33,69,1445,33.5,16.5,29,14.5,0.167,0.559,0.521,251,299,204,897.677,104539,309,0.69,62,14,251,897.811,0.366
