NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
29888,869,528,900.26,0,,,156
29888,869,528,900.25,0,,,156
,,,,,,,
,,,,,,,
15739,883,534,900.31,0,,,214
8770,905,546,900.32,0,,,99
,,,,,,,
15739,910,548,900.34,0,,,214
,,,,,,,
17085,925,556,900.31,0,,,194
29888,869,528,905.28,0,,,156
,,,,,,,
,,,,,,,
,,,,,,,
29888,869,528,904.48,0,,,156
19331,65,0,900.67,0,,,187
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
19537,667,352,900.31,0,,,188
,,,,,,,
29888,869,528,900.26,0,,,156
,,,,,,,
,,,,,,,
,,,,,,,
