NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
,801,108,5.71,0,,,0
,1167,214,6.14,0,,,0
,886,102,5.68,0,,,0
,1167,214,6.15,0,,,0
,910,116,5.78,0,,,0
,910,116,5.69,0,,,0
,1062,156,6.21,0,,,0
,1167,214,6.21,0,,,0
,1128,192,6.12,0,,,0
,886,102,5.73,0,,,0
,801,108,5.71,0,,,0
,910,116,5.65,0,,,0
,910,116,5.76,0,,,0
,1540,256,7.45,0,,,0
,798,98,5.74,0,,,0
,801,108,5.89,0,,,0
,910,116,5.69,0,,,0
,1405,278,7.51,0,,,0
,798,98,5.7,0,,,0
,910,116,5.63,0,,,0
,1128,192,5.96,0,,,0
,910,116,5.58,0,,,0
,1181,212,6.05,0,,,0
,1540,256,7.3,0,,,0
,910,116,5.64,0,,,0
,801,108,5.69,0,,,0
,1405,278,7.75,0,,,0
,1128,192,6.15,0,,,0
,982,152,5.95,0,,,0
,1540,256,7.38,0,,,0
