NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
4344,1070,80,24.03,0,,,84,169804,13971,4596.0,0,55741,186514,54.71,0.0,4260,50.71,0.074,0.073,0.02,438,87414,1269,4.573,208,1342,0.03,52,19,295
,4742,990,23.86,0,,,0,102853,11115,,,31866,114012,,,,,0.281,0.324,0.253,102898,,,0.632,202,0,0.0,101,66,3099
,4742,990,23.85,0,,,0,103141,11156,,,31944,114332,,,,,0.281,0.324,0.253,103177,,,0.649,202,0,0.0,100,66,3099
7224,2110,306,24.09,0,,,100,130554,9236,7524.0,0,45909,141550,75.24,0.0,7124,71.24,0.13,0.144,0.078,4261,115515,2591,6.063,208,2724,0.11,26,7,1087
5235,2184,294,23.93,0,,,86,133965,9644,5877.0,0,45487,146884,68.34,0.0,5149,59.87,0.155,0.149,0.075,4594,82312,1431,4.973,208,1607,0.05,156,32,1050
,4640,962,23.83,0,,,0,74934,8065,,,23250,83012,,,,,0.272,0.317,0.246,74947,,,0.588,202,0,0.0,26,15,3022
4344,1081,82,23.99,0,,,84,169839,13974,4596.0,0,55754,186552,54.71,0.0,4260,50.71,0.074,0.074,0.021,473,87447,1269,4.339,208,1342,0.03,52,19,302
9,4646,968,24.0,0,,,3,108305,11668,18.0,0,33554,120014,6.0,0.0,6,2.0,0.272,0.317,0.247,108127,33,24,0.628,205,48,0.0,25,14,3036
,4745,990,24.01,0,,,0,110024,11905,,,34064,121947,,,,,0.281,0.324,0.253,110042,,,0.623,202,0,0.0,100,65,3104
9,3847,768,24.12,0,,,3,98735,10700,18.0,0,30473,109476,6.0,0.0,6,2.0,0.216,0.263,0.196,98557,33,24,0.695,205,48,0.0,25,15,2420
0,4782,998,24.33,0,,,1,112530,12156,6.0,0,34872,124690,6.0,0.0,0,0.0,0.283,0.326,0.255,112535,,,0.596,202,0,0.0,100,64,3154
4467,2072,282,24.06,0,,,85,178154,14677,4722.0,0,58501,195627,55.55,0.0,4382,51.55,0.148,0.141,0.072,3207,91587,1269,4.374,208,1342,0.03,52,19,1023
2549,2250,316,24.2,0,,,68,154021,11980,2753.0,0,50823,168608,40.49,0.0,2481,36.49,0.162,0.154,0.081,5402,74492,1056,3.878,208,1138,0.03,70,33,1132
3978,2012,264,24.26,0,,,81,155890,12715,4221.0,0,51259,171232,52.11,0.0,3897,48.11,0.146,0.137,0.067,3021,81108,1260,4.586,208,1336,0.04,52,19,980
4467,2418,370,24.05,0,,,85,180347,14912,4722.0,0,59175,198047,55.55,0.0,4382,51.55,0.171,0.165,0.094,5392,92170,1270,4.435,208,1342,0.03,52,19,1325
5223,2393,344,23.88,0,,,90,136230,9971,5493.0,0,46084,149622,61.03,0.0,5133,57.03,0.164,0.163,0.088,4603,84795,2010,5.004,208,2162,0.07,77,28,1236
4344,2012,264,24.35,0,,,84,172359,14159,4596.0,0,56625,189279,54.71,0.0,4260,50.71,0.146,0.137,0.067,3016,88920,1269,4.335,208,1342,0.03,52,19,980
2549,2553,380,24.28,0,,,68,155856,12098,2753.0,0,51485,170546,40.49,0.0,2481,36.49,0.169,0.174,0.097,7221,75659,1056,3.709,208,1138,0.03,70,33,1360
1688,2523,390,24.14,0,,,48,75205,6755,2299.0,0,24088,83489,47.9,0.0,1640,34.17,0.182,0.172,0.1,5635,28334,571,3.951,209,697,0.03,115,59,1338
4467,1367,120,23.71,0,,,85,176117,14504,4722.0,0,57853,193389,55.55,0.0,4382,51.55,0.103,0.093,0.031,1142,90699,1269,4.339,208,1342,0.03,52,19,482
531,4839,1012,23.89,0,,,27,86849,8635,612.0,0,27336,96210,22.67,0.0,504,18.67,0.292,0.33,0.258,75676,19320,390,3.428,208,442,0.01,94,47,3212
5,3508,676,23.73,0,,,1,118935,12794,8.0,0,36897,131805,8.0,0.0,4,4.0,0.191,0.239,0.173,6466,9,5,0.835,202,13,0.0,109,65,2012
4848,2921,466,24.35,0,,,84,144218,10253,5100.0,0,49396,157275,60.71,0.0,4764,56.71,0.202,0.199,0.119,7204,88746,1329,4.682,208,1420,0.04,70,29,1655
5223,1861,230,23.84,0,,,90,134210,9786,5493.0,0,45429,147418,61.03,0.0,5133,57.03,0.135,0.127,0.059,2584,83919,1974,5.273,208,2010,0.06,77,27,842
6,3498,686,23.91,0,,,2,109405,11787,12.0,0,33809,121226,6.0,0.0,4,2.0,0.182,0.239,0.175,11529,15,12,0.757,203,27,0.0,26,14,2127
3978,1354,118,24.02,0,,,81,154018,12564,4221.0,0,50649,169182,52.11,0.0,3897,48.11,0.103,0.092,0.03,1122,80241,1260,4.575,208,1336,0.04,52,19,474
636,4362,882,24.04,0,,,39,99247,9055,753.0,0,32417,109463,19.31,0.0,597,15.31,0.279,0.298,0.225,63970,29664,510,3.446,208,582,0.02,190,87,2817
,4742,990,23.55,0,,,0,92612,10004,,,28689,102667,,,,,0.281,0.324,0.253,92663,,,0.557,202,0,0.0,101,67,3099
93,4839,1012,24.13,0,,,9,76962,8064,120.0,0,24014,85230,13.33,0.0,84,9.33,0.292,0.33,0.258,75001,5709,195,2.508,208,236,0.01,90,46,3212
7835,1503,166,24.22,0,,,103,141125,10003,8144.0,0,49597,152967,79.07,0.0,7732,75.07,0.115,0.103,0.042,1832,125149,2598,6.125,208,2734,0.11,26,8,654
