NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL
6706,1568,336,45.05,1,,,292,336859,23904,14926.0,666,118034,372134,51.12,2.29,5749,19.76,0.18,0.206,0.156,5389,358059,5493,12.39,329,4261,0.05,143,40,1053
,1288,205,1.62,0,,,0,2087,175,,,719,2285,,,,,0.129,0.17,0.095,2111,,,0.058,202,0,0.0,27,13,674
6706,1568,336,44.19,1,,,292,336859,23904,14926.0,666,118034,372134,51.12,2.29,5749,19.76,0.18,0.206,0.156,5389,358059,5493,12.911,329,4261,0.05,143,40,1053
160,863,68,12.08,1,,,17,2419,139,485.0,6,829,2715,28.53,0.38,138,8.63,0.062,0.114,0.032,412,1247,521,0.71,289,384,0.19,11,4,240
465,1317,247,4.36,0,,,20,9646,634,605.0,0,3311,10758,30.25,0.0,445,22.25,0.137,0.173,0.115,2093,6359,855,1.387,222,651,0.14,52,15,729
6706,1568,336,43.98,1,,,292,336859,23904,14926.0,666,118034,372134,51.12,2.29,5749,19.76,0.18,0.206,0.156,5389,358059,5493,12.26,329,4261,0.05,143,40,1053
160,863,68,12.06,1,,,17,2419,139,485.0,6,829,2715,28.53,0.38,138,8.63,0.062,0.114,0.032,412,1247,521,0.624,289,345,0.17,11,4,240
160,863,68,12.95,1,,,17,2421,137,485.0,6,831,2717,28.53,0.38,138,8.63,0.062,0.114,0.032,412,1247,516,0.685,290,377,0.19,11,4,240
160,863,68,12.1,1,,,17,2421,137,485.0,6,831,2717,28.53,0.38,138,8.63,0.062,0.114,0.032,412,1247,516,0.685,290,348,0.17,11,4,240
6706,1568,336,47.01,1,,,292,336859,23904,14926.0,666,118034,372134,51.12,2.29,5749,19.76,0.18,0.206,0.156,5389,358059,5493,12.752,329,4261,0.05,143,40,1053
6706,1568,336,44.95,1,,,292,336859,23904,14926.0,666,118034,372134,51.12,2.29,5749,19.76,0.18,0.206,0.156,5389,358059,5493,12.934,329,4261,0.05,143,40,1053
6706,1568,336,46.29,1,,,292,336859,23904,14926.0,666,118034,372134,51.12,2.29,5749,19.76,0.18,0.206,0.156,5389,358059,5493,13.11,329,4261,0.05,143,40,1053
,1193,145,1.24,0,,,0,1128,82,,,392,1236,,,,,0.118,0.157,0.067,1155,,,0.057,202,0,0.0,31,16,499
,917,88,0.84,0,,,0,311,16,,,106,349,,,,,0.091,0.121,0.041,334,,,0.028,202,0,0.0,24,8,280
,1288,205,1.63,0,,,0,2087,175,,,719,2285,,,,,0.129,0.17,0.095,2111,,,0.061,202,0,0.0,27,13,674
26,1307,211,1.96,0,,,3,2011,172,87.0,0,670,2222,29.0,0.0,23,7.67,0.129,0.172,0.098,1658,155,34,0.248,204,72,0.07,27,11,699
465,1317,247,4.85,0,,,20,13261,964,605.0,0,4512,14861,30.25,0.0,445,22.25,0.137,0.173,0.115,2225,7919,855,1.48,222,651,0.11,58,22,729
724,1331,244,10.21,0,,,38,49021,4627,1589.0,12,16253,54845,41.82,0.32,674,17.74,0.145,0.175,0.113,2471,24566,1319,2.729,304,1082,0.06,63,26,761
6706,1568,336,43.61,1,,,292,336859,23904,14926.0,666,118034,372134,51.12,2.29,5749,19.76,0.18,0.206,0.156,5389,358059,5493,12.135,329,4261,0.05,143,40,1053
160,863,68,11.92,1,,,17,2421,137,485.0,6,831,2717,28.53,0.38,138,8.63,0.062,0.114,0.032,412,1247,516,0.637,290,382,0.19,11,4,240
,917,88,0.83,0,,,0,311,16,,,106,349,,,,,0.091,0.121,0.041,334,,,0.02,202,0,0.0,24,8,280
150,1258,224,3.88,0,,,15,9259,908,362.0,6,2992,10431,24.13,0.4,129,8.6,0.139,0.166,0.104,2624,2279,462,0.868,299,294,0.07,56,16,674
465,1317,247,4.35,0,,,20,9646,634,605.0,0,3311,10758,30.25,0.0,445,22.25,0.137,0.173,0.115,2093,6359,855,1.212,222,651,0.14,52,15,729
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138,912,63,895.54,0,,,154,248353,18891,10953.0,265,87124,276724,71.12,1.72,5719,37.14,0.06,0.12,0.029,533,609761,41440,870.77,83071,29582,0.3,132,54,218
6706,1568,336,44.97,1,,,292,336859,23904,14926.0,666,118034,372134,51.12,2.29,5749,19.76,0.18,0.206,0.156,5389,358059,5493,12.775,329,4261,0.05,143,40,1053
423,1363,264,8.99,0,,,26,36481,3826,940.0,12,11612,41052,36.15,0.46,385,14.81,0.149,0.179,0.122,3909,15039,1305,2.447,304,1047,0.07,68,30,811
160,863,68,12.77,1,,,17,2421,137,485.0,6,831,2717,28.53,0.38,138,8.63,0.062,0.114,0.032,412,1247,516,0.656,290,382,0.19,11,4,240
6706,1568,336,44.47,1,,,292,336859,23904,14926.0,666,118034,372134,51.12,2.29,5749,19.76,0.18,0.206,0.156,5389,358059,5493,12.659,329,4261,0.05,143,40,1053
3566,1316,247,34.5,1,,,79,88488,5902,5533.0,77,31217,98741,70.04,0.99,3411,43.73,0.137,0.173,0.115,3513,153911,7324,11.189,5754,5498,0.17,110,38,737
