NoAffS,VL,VC,Time,Result,FTime,FResult
10.0,1155.0,1078.0,,0.0,721.09,1.0
13.0,1109.0,1030.0,,0.0,324.83,1.0
28.0,1104.0,1028.0,,0.0,320.59,1.0
4.0,1136.0,1060.0,,0.0,718.17,1.0
13.0,1102.0,1026.0,,0.0,324.75,1.0
25.0,1161.0,1080.0,,0.0,662.36,1.0
10.0,1152.0,1076.0,,0.0,718.14,1.0
103.0,617.0,790.0,,0.0,722.93,1.0
7.0,1161.0,1082.0,,0.0,713.9,1.0
124.0,899.0,966.0,,0.0,813.61,1.0
28.0,1104.0,1028.0,,0.0,313.12,1.0
121.0,907.0,972.0,,0.0,738.47,1.0
133.0,891.0,966.0,,0.0,696.75,1.0
28.0,1162.0,1082.0,,0.0,632.65,1.0
55.0,1062.0,1020.0,,0.0,759.58,1.0
13.0,1109.0,1030.0,,0.0,316.0,1.0
103.0,512.0,790.0,,0.0,760.35,1.0
127.0,908.0,974.0,,0.0,770.61,1.0
136.0,891.0,966.0,,0.0,691.15,1.0
31.0,1162.0,1082.0,,0.0,643.1,1.0
70.0,1057.0,1020.0,,0.0,755.46,1.0
61.0,1060.0,1020.0,,0.0,741.26,1.0
127.0,891.0,966.0,,0.0,700.8,1.0
64.0,1059.0,1020.0,,0.0,732.41,1.0
106.0,1109.0,1030.0,,0.0,702.91,1.0
139.0,891.0,966.0,,0.0,673.74,1.0
76.0,1050.0,922.0,,0.0,732.26,1.0
142.0,891.0,966.0,,0.0,666.64,1.0
13.0,1109.0,1030.0,,0.0,314.53,1.0
127.0,899.0,966.0,,0.0,785.79,1.0
