@relation training6

@attribute GNoAffS numeric
@attribute GVL numeric
@attribute GFTime numeric

@data
0.15,0.235437,0.39371
1,0.455097,0.507317
0.229268,0.815534,0.051669
0.229268,0.756068,0.085237
0.154878,0.824029,0.095443
0.404878,0.847087,0.09647
0.108537,0.805825,0.105456
0.802439,0,0.734146
0.229268,0.872573,0.072465
0.803659,0.850728,0.542105
0.829268,0.455097,0.729974
0.532927,0.728155,0.340693
0,0.82767,0.604685
0.536585,0.479369,0
0.739024,0.123786,0.766688
0.037805,0.828883,0.553273
0.345122,1,0.075481
0.817073,0.496359,0.70199
0.546341,0.453883,0.64095
0.820732,0.162621,0.705392
0.915854,0.406553,0.604044
0.204878,0.873786,0.066175
0.493902,0.81432,0.773171
0.179268,0.79733,0.072593
0.829268,0.740291,0.697818
0.523171,0.635922,0.679525
0.131707,0.82767,0.176123
0.031707,0.828883,0.629204
0.782927,0.457524,0.912516
0.628049,0,1
0.043478,0.989231,0.815141
0.065217,0.918462,0.023397
0.173913,0.910769,0.014925
0,0.96,0.809307
0.065217,0.907692,0.023237
0.152174,0.998462,0.697796
0.043478,0.984615,0.809247
0.717391,0.161538,0.818818
0.021739,0.998462,0.800775
0.869565,0.595385,1
0.173913,0.910769,0
0.847826,0.607692,0.849867
0.934783,0.583077,0.766509
0.173913,1,0.638434
0.369565,0.846154,0.892046
0.065217,0.918462,0.005754
0.717391,0,0.893584
0.891304,0.609231,0.914084
0.956522,0.583077,0.75532
0.195652,1,0.659314
0.478261,0.838462,0.883814
0.413043,0.843077,0.855442
0.891304,0.583077,0.774601
0.434783,0.841538,0.837759
0.73913,0.918462,0.778817
0.978261,0.583077,0.720534
0.521739,0.827692,0.837459
1,0.583077,0.706348
0.065217,0.918462,0.002817
0.891304,0.595385,0.944414
0.866653,0.801185,0.004997
0.935781,0.892693,0.005162
0.723796,0,0.012045
0.053686,0,0.496013
0.700378,0.788018,0.022335
0.45884,0.934826,0.030012
0.129768,0.901251,0.137057
0.680029,0.361422,0.034546
0.070355,0.697828,0.181761
0.042949,0.99605,0.493167
0.10768,0,0.136395
0.054811,0.868334,0.252275
1,0.892693,0.004136
0.169649,0.98815,0.224413
0.064015,0.99605,0.536911
0.076388,0.863726,0.179709
0.419164,0,0.026174
0.967584,0.899276,0
0.133551,0.22449,0.138116
0.439002,0.934826,0.019688
0.078842,0.867018,0.262036
0.093977,0.764977,0.139406
0.129768,0.838051,0.132788
0.075263,0.580645,0.255418
0.548931,0.989467,0.020284
0.074547,0.99605,0.489428
0.369567,0.930876,0.030277
0,1,1
0.061151,0.718894,0.286291
0.535126,0.95655,0.015188
0.282979,0.910017,0.140165
0.318006,0.767968,0.125152
0.282979,0.870968,0.135182
0.001508,1,0.791765
0.248505,0,0.108254
0.213327,0.912281,0.128378
0.368461,0.720996,0.174727
0.283984,0.921902,0.086277
0.283984,0.898132,0.086182
0.398613,0.823995,0.16508
0.807226,0.587436,0.163068
0.28117,0.92077,0.080336
0.85542,0.58687,0.159746
0,0.996604,1
0.001508,1,0.75337
0.003166,0.856254,0.982719
0.39399,0.932088,0.035808
0.282979,0.907187,0.142049
0.003669,0,0.745608
0.001508,0.906621,0.771577
0.282979,0.93605,0.132371
0.318006,0,0.142337
0.282979,0.911715,0.136651
0.367204,0.829089,0.173545
0.006282,0.609508,0.683224
1,0.424448,0.12742
0.318006,0.937182,0.149013
0.008995,0,0.651792
0.954118,0.594228,0.136779
0.535504,0.882286,0
0.091093,1,0.3074
0.119433,0,0.253652
0.055162,0.943146,0.321465
0.845142,0.86215,0.523884
0.373482,0.73676,0.013318
1,0.482087,0.253245
0.091093,0.389408,0.322077
0.857287,0.917445,0.520826
0.374494,0,0
0.509615,0.338785,0.705782
0.844636,0.917445,0.540939
0.509615,0.666667,0.703948
0,0.280374,0.250934
0.348684,0.666667,0.714412
0.811741,0.917445,0.502684
0.811741,0.86215,0.536251
0.03998,0.842679,0.311612
0.106275,0.929128,0.303255
0.199393,0.893302,0.268669
0.106275,0.848131,0.310729
0.792004,0.998442,1
0.883603,0.55919,0.939186
0.811741,0.917445,0.509615
0.296559,0.807632,0.225182
0.075911,0.897975,0.259836
0.687753,0.593458,0.156622
0.574393,0.720405,0.073045
0.571356,0.672897,0.029762
0.815283,0.917445,0.517497
0.857287,0.024143,0.520554
0.011814,0.998668,0.991399
0.19607,1,0.271237
0.176665,0.951366,0.261026
0.243695,0.971352,0.449646
0.195948,0.713524,0.282803
0.265365,0.991339,0.419523
0,0,0.811846
0.176726,0.962692,0.266703
0.195948,0.916056,0.285345
0.215291,0.403065,0.283184
0.381489,0.846769,0.198449
0.195948,0,0.263187
0.011814,0,1
0.48084,0.715523,0
0.176726,0.950033,0.284159
0.314398,0.991339,0.18773
0.958803,0.762825,0.03364
0.431991,0.331779,0.520061
0.394527,0.731512,0.330466
1,0.649567,0.040673
0.19607,0.936709,0.250434
1,0.77948,0.025378
0.110002,0.948701,0.312545
0.176604,0.403065,0.286701
0.297319,0.647568,0.406897
0.882774,0.697535,0.016015
0.195948,0.720187,0.282973
0.195948,0.937375,0.256323
0.371939,0.632245,0.49642
0.874878,0.617588,0.02237
