NoAffS,VL,VC,Time,Result
15,507,2162,6.74,1
15,507,2162,6.88,1
15,507,2162,6.85,1
15,507,2162,6.69,1
15,507,2162,6.88,1
15,507,2162,6.84,1
15,507,2162,6.77,1
15,507,2162,6.82,1
15,507,2162,6.75,1
15,507,2162,6.82,1
15,507,2162,6.89,1
15,507,2162,6.88,1
15,507,2162,6.66,1
15,507,2162,6.67,1
15,507,2162,6.6,1
15,507,2162,6.79,1
15,507,2162,7.03,1
15,507,2162,6.75,1
15,507,2162,6.71,1
15,507,2162,6.88,1
15,507,2162,6.8,1
15,507,2162,6.75,1
15,507,2162,6.85,1
15,507,2162,6.67,1
15,507,2162,6.72,1
15,507,2162,6.88,1
15,507,2162,6.73,1
15,507,2162,6.67,1
15,507,2162,6.76,1
15,507,2162,6.94,1
