NoAffS,VL,VC,Time,Result
34,4764,15642,30.43,0
15,1531,5352,30.43,0
14,4764,15642,30.35,0
14,4764,15642,30.39,0
15,1531,5352,30.39,0
14,4764,15642,30.35,0
15,1531,5352,30.42,0
23,4764,15642,30.37,0
34,4764,15642,30.45,0
15,1531,5352,30.38,0
23,4764,15642,30.42,0
14,4764,15642,30.37,0
34,4764,15642,30.42,0
15,1531,5352,30.45,0
15,1531,5352,30.46,0
15,1531,5352,30.39,0
14,4764,15642,30.32,0
23,4764,15642,30.33,0
23,3598,13464,30.34,0
34,4764,15642,30.42,0
15,1531,5352,30.41,0
15,1531,5352,30.42,0
34,4764,15642,30.42,0
34,4764,15642,30.44,0
34,4764,15642,30.38,0
23,4764,15642,30.44,0
15,1531,5352,30.44,0
15,1531,5352,30.37,0
23,4764,15642,30.34,0
15,1531,5352,30.41,0
